region,sector,CO2 shares,CO2 shares without russia,CO2 shares without china,CO2 shares without india,Sectoral CO2 share,Embodied CO2,Embodied value added
LBR,Agriculture,5.220023057809082e-06,5.220023057809082e-06,5.220023057809082e-06,5.220023057809082e-06,0.09970699777012257,1.0488039505642315,9031.011176527736
LBR,Fishing,4.4772187250139925e-07,4.4772187250139925e-07,4.4772187250139925e-07,4.4772187250139925e-07,0.012816799451154414,0.08995601426147129,728.1505737788748
LBR,Mining and Quarrying,1.714543802115627e-06,1.714543802115627e-06,1.714543802115627e-06,1.714543802115627e-06,0.03402800495841214,0.3444851283528671,72.5514496518801
LBR,Food & Beverages,6.87571925985722e-07,6.87571925985722e-07,6.87571925985722e-07,6.87571925985722e-07,0.012612586734665686,0.13814654538586468,53.49880915243144
LBR,Textiles and Wearing Apparel,1.273410602715533e-06,1.273410602715533e-06,1.273410602715533e-06,1.273410602715533e-06,0.03289769061742643,0.25585290640056735,42.239976798963184
LBR,Wood and Paper,1.0298096439569577e-06,1.0298096439569577e-06,1.0298096439569577e-06,1.0298096439569577e-06,0.022893149783163536,0.2069087456032277,113.81718598246066
LBR,"Petroleum, Chemical and Non-Metallic Mineral Products",1.432498198567686e-05,1.432498198567686e-05,1.432498198567686e-05,1.432498198567686e-05,0.034267538201519426,2.878166922244433,257.3241965905238
LBR,Metal Products,3.5478446974123627e-06,3.5478446974123627e-06,3.5478446974123627e-06,3.5478446974123627e-06,0.07324698431818533,0.7128308617464615,382.40419337916614
LBR,Electrical and Machinery,5.098528003799778e-06,5.098528003799778e-06,5.098528003799778e-06,5.098528003799778e-06,0.07678067938687162,1.0243932360505577,1026.7573131688794
LBR,Transport Equipment,1.3641366016957174e-05,1.3641366016957174e-05,1.3641366016957174e-05,1.3641366016957174e-05,0.15404657822994836,2.740815205456629,444.06236873456066
LBR,Other Manufacturing,1.6442451802584194e-06,1.6442451802584194e-06,1.6442451802584194e-06,1.6442451802584194e-06,0.04169374062224781,0.33036077075778675,71.38176863231935
LBR,Recycling,3.2301690848625392e-06,3.2301690848625392e-06,3.2301690848625392e-06,3.2301690848625392e-06,0.08857494301994451,0.6490036652474469,4.730858566649653
LBR,"Electricity, Gas and Water",1.0847343123093967e-05,1.0847343123093967e-05,1.0847343123093967e-05,1.0847343123093967e-05,0.017767256268741823,2.179441775378226,150.64874357522461
LBR,Construction,8.263205910235009e-07,8.263205910235009e-07,8.263205910235009e-07,8.263205910235009e-07,0.014905471159795665,0.16602384523982602,341.7824536941146
LBR,Maintenance and Repair,1.1380387576413865e-06,1.1380387576413865e-06,1.1380387576413865e-06,1.1380387576413865e-06,0.03238252924215957,0.2286540752198245,32.78601555651689
LBR,Wholesale Trade,1.3024583363994075e-06,1.3024583363994075e-06,1.3024583363994075e-06,1.3024583363994075e-06,0.03067375578609638,0.2616891599008291,826.1516014648266
LBR,Retail Trade,1.756937902095261e-07,1.756937902095261e-07,1.756937902095261e-07,1.756937902095261e-07,0.004271130132740153,0.03530029258887878,103.89182357479802
LBR,Hotels and Restraurants,4.4549786144158907e-07,4.4549786144158907e-07,4.4549786144158907e-07,4.4549786144158907e-07,0.009022373928768049,0.08950916727252206,111.01489776913357
LBR,Transport,4.4360895265777516e-05,4.4360895265777516e-05,4.4360895265777516e-05,4.4360895265777516e-05,0.039819755603936434,8.91296488350018,800.8310328530072
LBR,Post and Telecommunications,6.835732669070566e-07,6.835732669070566e-07,6.835732669070566e-07,6.835732669070566e-07,0.016106494304081925,0.13734313716482438,521.9180627283315
LBR,Finacial Intermediation and Business Activities,3.464409943048601e-06,3.464409943048601e-06,3.464409943048601e-06,3.464409943048601e-06,0.021682750438208286,0.6960672001645148,1332.7757894603924
LBR,Public Administration,4.8281930728981614e-08,4.8281930728981614e-08,4.8281930728981614e-08,4.8281930728981614e-08,0.0009448069498674535,0.009700777013555584,20.881367360410568
LBR,"Education, Health and Other Services",3.0702333157121283e-07,3.0702333157121283e-07,3.0702333157121283e-07,3.0702333157121283e-07,0.0032492891370981903,0.06168694649452966,107.9030435225841
LBR,Private Households,8.538895797819451e-07,8.538895797819451e-07,8.538895797819451e-07,8.538895797819451e-07,0.024322055802070017,0.1715629901828089,5.443154478224259
LBR,Others,8.782055294526887e-07,8.782055294526887e-07,8.782055294526887e-07,8.782055294526887e-07,0.02491863231982287,0.1764485364330779,3.244754788893415
LBR,Re-export & Re-import,0.0,0.0,0.0,0.0,,0.0,1.519379761800887e-06
PRK,Agriculture,1.159375345454831e-06,1.159375345454831e-06,1.159375345454831e-06,1.159375345454831e-06,0.0004453859804116613,0.23294100984491667,190.06624021077437
PRK,Fishing,3.159690480354968e-06,3.159690480354968e-06,3.159690480354968e-06,3.159690480354968e-06,0.004107007481417041,0.6348431456445279,346.0231836236003
PRK,Mining and Quarrying,0.0002076809332048479,0.0002076809332048479,0.0002076809332048479,0.0002076809332048479,0.019390175867511177,41.727130472395174,1325.566714795493
PRK,Food & Beverages,1.137726114282473e-06,1.137726114282473e-06,1.137726114282473e-06,1.137726114282473e-06,6.40991909539277e-05,0.22859125910075478,19.88805597727515
PRK,Textiles and Wearing Apparel,1.0880827780278602e-05,1.0880827780278602e-05,1.0880827780278602e-05,1.0880827780278602e-05,0.0017755239951491493,2.186169492928438,119.35161071592343
PRK,Wood and Paper,1.0784984835595204e-05,1.0784984835595204e-05,1.0784984835595204e-05,1.0784984835595204e-05,0.0010687549731900386,2.1669127850740004,158.53056268322482
