region,sector,CO2 shares,CO2 shares without russia,CO2 shares without china,CO2 shares without india,Sectoral CO2 share,Embodied CO2,Embodied value added
SWZ,Agriculture,7.538223903977783e-07,7.538223903977783e-07,7.538223903977783e-07,2.0450990015898807e-06,0.17502145711448167,2.5519616129676903,5357.756845188514
SWZ,Fishing,2.057819509927607e-07,2.057819509927607e-07,2.057819509927607e-07,5.574778782333537e-07,0.06565563904316489,0.6966463801877959,429.68989528189695
SWZ,Mining and Quarrying,9.895847246483548e-08,9.895847246483548e-08,9.895847246483548e-08,2.671167548565805e-07,0.027979088324748696,0.33501024409068103,7.73666558720621
SWZ,Food & Beverages,3.23498658975882e-07,3.23498658975882e-07,3.23498658975882e-07,8.779186518801193e-07,0.07374969042724049,1.0951600404404886,5913.279678332311
SWZ,Textiles and Wearing Apparel,1.0728875482604409e-07,1.0728875482604409e-07,1.0728875482604409e-07,2.9034611201936644e-07,0.03206260353665104,0.3632112647578549,511.01698142749797
SWZ,Wood and Paper,1.5377965873708073e-07,1.5377965873708073e-07,1.5377965873708073e-07,4.158419704946162e-07,0.04217097155003338,0.5205998003657311,1594.1512836315167
SWZ,"Petroleum, Chemical and Non-Metallic Mineral Products",1.7396522136703774e-07,1.7396522136703774e-07,1.7396522136703774e-07,4.700742175808562e-07,0.031048085238555557,0.5889352353753268,1767.092456926818
SWZ,Metal Products,1.1478951674440226e-07,1.1478951674440226e-07,1.1478951674440226e-07,3.0494326469275623e-07,0.03125937598604069,0.38860405850806345,1331.777580446876
SWZ,Electrical and Machinery,6.805920077151432e-08,6.805920077151432e-08,6.805920077151432e-08,1.8379710525756186e-07,0.014508109404337968,0.23040502642341978,1596.2982615404978
SWZ,Transport Equipment,6.67255229122288e-08,6.67255229122288e-08,6.67255229122288e-08,1.8040051117421724e-07,0.017705395891638758,0.2258900441884591,416.98509026275184
SWZ,Other Manufacturing,8.921796716496225e-08,8.921796716496225e-08,8.921796716496225e-08,2.411917186955043e-07,0.026863731186842994,0.30203510839184877,412.876743729946
SWZ,Recycling,6.272448694893935e-07,6.272448694893935e-07,6.272448694893935e-07,1.691691917231353e-06,0.2004721276480666,2.1234508940802335,124.60585660518757
SWZ,"Electricity, Gas and Water",3.939900695396134e-07,3.939900695396134e-07,3.939900695396134e-07,1.0654946938627057e-06,0.004435334519815743,1.3337989772697094,29.678331285823873
SWZ,Construction,6.772828180198381e-08,6.772828180198381e-08,6.772828180198381e-08,1.8315940360817565e-07,0.01581949438734274,0.2292847459462121,723.797236451286
SWZ,Maintenance and Repair,2.2292683912757816e-07,2.2292683912757816e-07,2.2292683912757816e-07,6.025155138067542e-07,0.06923019349886425,0.7546880315582092,461.3603940054562
SWZ,Wholesale Trade,2.2585638561007262e-07,2.2585638561007262e-07,2.2585638561007262e-07,6.11800073315226e-07,0.0478124140436788,0.7646056066554219,3717.137879894574
SWZ,Retail Trade,8.957008711405302e-08,8.957008711405302e-08,8.957008711405302e-08,2.419921333926885e-07,0.01866724382136163,0.3032271618578723,1241.5117184492087
SWZ,Hotels and Restraurants,6.067124280208888e-08,6.067124280208888e-08,6.067124280208888e-08,1.6424035737484376e-07,0.012980854578414455,0.20539411486606515,824.6334507174772
SWZ,Transport,1.051685071555967e-06,1.051685071555967e-06,1.051685071555967e-06,2.8456221299629067e-06,0.01055750939539752,3.5603345903877734,505.1472635434642
SWZ,Post and Telecommunications,1.2327535710536946e-07,1.2327535710536946e-07,1.2327535710536946e-07,3.336952413046408e-07,0.026702768821595394,0.4173316993035736,328.2571371238721
SWZ,Finacial Intermediation and Business Activities,3.0143533782691047e-07,3.0143533782691047e-07,3.0143533782691047e-07,8.157382391816581e-07,0.02140693543825797,1.0204677132504691,1859.3186437317902
SWZ,Public Administration,3.533545750325812e-08,3.533545750325812e-08,3.533545750325812e-08,9.550625675561612e-08,0.005231099216140399,0.11962331216691814,560.7058316804412
SWZ,"Education, Health and Other Services",7.509017974640916e-08,7.509017974640916e-08,7.509017974640916e-08,2.0329263318627068e-07,0.00856027220948141,0.25420743488736375,1709.486360233438
SWZ,Private Households,2.071818008174372e-07,2.071818008174372e-07,2.071818008174372e-07,5.600458013370497e-07,0.06431300182878608,0.7013853784743935,243.16295800451215
SWZ,Others,1.0197550565887158e-07,1.0197550565887158e-07,1.0197550565887158e-07,2.757468318656931e-07,0.03149799349914819,0.34522399336942905,33.513550103158686
SWZ,Re-export & Re-import,0.0,0.0,0.0,0.0,,0.0,0.00033365380525043274
GHA,Agriculture,7.1839995016675525e-06,7.1839995016675525e-06,7.1839995016675525e-06,1.9483400014343443e-05,0.3504295036709021,24.320438327867215,511556.9894587829
GHA,Fishing,1.1554141429893718e-06,1.1554141429893718e-06,1.1554141429893718e-06,3.1317343093830027e-06,0.08807511305895707,3.9114950385500373,11798.101769812596
GHA,Mining and Quarrying,1.235563722137e-06,1.235563722137e-06,1.235563722137e-06,3.3420742198962146e-06,0.05897960291081172,4.182830371495416,16921.483993523525
GHA,Food & Beverages,9.065041638236198e-06,9.065041638236198e-06,9.065041638236198e-06,2.4602355613139422e-05,0.16502190316671136,30.68844674211033,60698.85148848927
GHA,Textiles and Wearing Apparel,3.4747421369514915e-07,3.4747421369514915e-07,3.4747421369514915e-07,9.40653509660835e-07,0.019097657943652206,1.1763259703366409,2009.0163226983814
GHA,Wood and Paper,9.208032584639172e-06,9.208032584639172e-06,9.208032584639172e-06,2.498476342968231e-05,0.27040726828009,31.172522846601947,115534.7502598878
GHA,"Petroleum, Chemical and Non-Metallic Mineral Products",1.4579247997100237e-05,1.4579247997100237e-05,1.4579247997100237e-05,3.9532102410657496e-05,0.04537160737371666,49.35603095432484,18874.089579785028
GHA,Metal Products,1.2299968206497956e-06,1.2299968206497956e-06,1.2299968206497956e-06,3.3328042516340905e-06,0.04676133208758556,4.163984395202484,12452.63625758821
GHA,Electrical and Machinery,7.426750526051793e-07,7.426750526051793e-07,7.426750526051793e-07,2.013316513009223e-06,0.012997912144851081,2.5142238401237647,10074.538726440482
GHA,Transport Equipment,1.9297341030277917e-07,1.9297341030277917e-07,1.9297341030277917e-07,5.221805474843994e-07,0.005150484149795033,0.653284834317927,1198.5073606890046
GHA,Other Manufacturing,5.198362174990019e-07,5.198362174990019e-07,5.198362174990019e-07,1.408667730142691e-06,0.02525887386490374,1.759833734028187,2963.85100043394
GHA,Recycling,3.009498533953552e-07,3.009498533953552e-07,3.009498533953552e-07,8.086379651792947e-07,0.017840024457560395,1.018824172744371,233.31540786086643
GHA,"Electricity, Gas and Water",8.22778304236325e-06,8.22778304236325e-06,8.22778304236325e-06,2.231175001795154e-05,0.012053403993751098,27.854023376591144,13088.791396814315
GHA,Construction,5.624257802628731e-07,5.624257802628731e-07,5.624257802628731e-07,1.5241350174318841e-06,0.0069996967724425116,1.9040148178895,18090.926299280844
GHA,Maintenance and Repair,3.997702795466154e-07,3.997702795466154e-07,3.997702795466154e-07,1.0808730074931537e-06,0.029780513117964653,1.3533670801022308,3056.612305401656
GHA,Wholesale Trade,1.3042249632675938e-06,1.3042249632675938e-06,1.3042249632675938e-06,3.5376079118053253e-06,0.04934374672326663,4.4152735224232265,89686.20716927499
GHA,Retail Trade,7.2124367792326e-08,7.2124367792326e-08,7.2124367792326e-08,1.9520769203735072e-07,0.003920737879621241,0.2441670880437165,7745.770547600929
GHA,Hotels and Restraurants,4.2494228323457483e-07,4.2494228323457483e-07,4.2494228323457483e-07,1.1519765991688934e-06,0.020823141988269032,1.4385834227731569,20987.436578556477
GHA,Transport,8.914813596489738e-05,8.914813596489738e-05,8.914813596489738e-05,0.0002414313250143807,0.0793877816604041,301.7987045065,97423.89177583129
GHA,Post and Telecommunications,4.3979844892945856e-07,4.3979844892945856e-07,4.3979844892945856e-07,1.1923557164248365e-06,0.028834813029916376,1.4888769203558234,30238.780076343013
GHA,Finacial Intermediation and Business Activities,1.648118815881901e-06,1.648118815881901e-06,1.648118815881901e-06,4.469279834946787e-06,0.03515245383403312,5.579478674706094,66104.89248397597
GHA,Public Administration,3.587308009843151e-08,3.587308009843151e-08,3.587308009843151e-08,9.705246581200217e-08,0.0016638857346922967,0.12144335922657443,823.1276007237485
GHA,"Education, Health and Other Services",2.2303786983938706e-07,2.2303786983938706e-07,2.2303786983938706e-07,6.04386138815603e-07,0.008446288053170032,0.7550639107016334,10540.9674903562
GHA,Private Households,2.810252128712262e-07,2.810252128712262e-07,2.810252128712262e-07,7.57809337142339e-07,0.02114945468629048,0.9513720534952639,302.3124202313048
GHA,Others,5.41019599879942e-07,5.41019599879942e-07,5.41019599879942e-07,1.466647229450783e-06,0.04007264634832467,1.8315471500232325,244.96729293901652
GHA,Re-export & Re-import,0.0,0.0,0.0,0.0,,0.0,0.3175987167154669
TJK,Agriculture,3.2316429600008027e-07,3.2316429600008027e-07,3.2316429600008027e-07,8.768064264329014e-07,0.032231616835302034,1.0940281007556065,2090.062416846845
TJK,Fishing,2.521390735384384e-09,2.521390735384384e-09,2.521390735384384e-09,6.818173891580714e-09,0.007759836522328385,0.008535820174561224,146.8409384793245
TJK,Mining and Quarrying,2.4057023999390025e-09,2.4057023999390025e-09,2.4057023999390025e-09,6.509786842107463e-09,0.007403793899501983,0.008144173289452182,8.745657505847722
TJK,Food & Beverages,1.1710077820745457e-09,1.1710077820745457e-09,1.1710077820745457e-09,3.174224422992143e-09,0.00360389559133029,0.0039642851504633194,124.6724433073618
TJK,Textiles and Wearing Apparel,7.605806109348405e-09,7.605806109348405e-09,7.605806109348405e-09,2.062169649951452e-08,0.023407642140032135,0.02574840635403535,319.8584075508971
TJK,Wood and Paper,1.5541189591596886e-09,1.5541189591596886e-09,1.5541189591596886e-09,4.20866638824015e-09,0.004782959217739743,0.005261255139513718,201.9604529690607
TJK,"Petroleum, Chemical and Non-Metallic Mineral Products",4.15354050980613e-07,4.15354050980613e-07,4.15354050980613e-07,1.1255210195657697e-06,0.006501331853254676,1.4061237864450062,389.40117214980074
TJK,Metal Products,2.4471690589681085e-06,2.4471690589681085e-06,2.4471690589681085e-06,6.618126012124335e-06,0.015242995732784915,8.284552937772869,453.68947639146353
TJK,Electrical and Machinery,1.0052254837696016e-09,1.0052254837696016e-09,1.0052254837696016e-09,2.721373665497718e-09,0.0030936837010870554,0.0034030520711957613,336.36076040069014
TJK,Transport Equipment,8.420778179545925e-10,8.420778179545925e-10,8.420778179545925e-10,2.278944196690651e-09,0.0025915801603873497,0.002850738176426085,75.77780388972612
TJK,Other Manufacturing,1.523149885249349e-09,1.523149885249349e-09,1.523149885249349e-09,4.12139260667937e-09,0.004687648741890189,0.005156413616079208,80.74568710880689
TJK,Recycling,2.1212263604829796e-09,2.1212263604829796e-09,2.1212263604829796e-09,5.7237422868085606e-09,0.006528289944593682,0.007181118939053051,7.713109286637991
TJK,"Electricity, Gas and Water",7.034465294615258e-07,7.034465294615258e-07,7.034465294615258e-07,1.9042073713100052e-06,0.004406236639854773,2.38142109179575,21.28106547370499
TJK,Construction,9.689942887823234e-10,9.689942887823234e-10,9.689942887823234e-10,2.6249486906300323e-09,0.0029821785122385604,0.003280396363462417,973.7588208872082
TJK,Maintenance and Repair,4.202651602188226e-09,4.202651602188226e-09,4.202651602188226e-09,1.1357213834765851e-08,0.012934087896658526,0.014227496686324378,112.26335601223217
TJK,Wholesale Trade,1.6827100130724459e-09,1.6827100130724459e-09,1.6827100130724459e-09,4.558644503389688e-09,0.0051787112694124445,0.005696582396353689,735.9363010736637
TJK,Retail Trade,6.073087304810894e-10,6.073087304810894e-10,6.073087304810894e-10,1.6431640892246714e-09,0.0018690544075460832,0.002055959848300692,261.42650903787825
TJK,Hotels and Restraurants,7.387079178180699e-10,7.387079178180699e-10,7.387079178180699e-10,2.0007501340457893e-09,0.0022734487755401134,0.002500793653094125,166.59969034084486
TJK,Transport,7.3432161187797706e-06,7.3432161187797706e-06,7.3432161187797706e-06,1.990475716204422e-05,0.011348095408329605,24.859444200062857,1425.0938213780316
TJK,Post and Telecommunications,1.0886433383596962e-09,1.0886433383596962e-09,1.0886433383596962e-09,2.9490118999117218e-09,0.003350410635781615,0.003685451699359777,434.06244991868726
TJK,Finacial Intermediation and Business Activities,2.8831141211241954e-07,2.8831141211241954e-07,2.8831141211241954e-07,7.811435139713607e-07,0.0034754872965595263,0.9760384749292945,376.28058313661023
TJK,Public Administration,2.593778093969949e-10,2.593778093969949e-10,2.593778093969949e-10,7.018775856276171e-10,0.0007982615983291827,0.0008780877581621011,31.390120657258283
TJK,"Education, Health and Other Services",2.6897738355295298e-08,2.6897738355295298e-08,2.6897738355295298e-08,7.286010499436709e-08,0.001197023289385279,0.09105857909333415,80.78267281444175
TJK,Private Households,5.33831261316149e-09,5.33831261316149e-09,5.33831261316149e-09,1.4423085215278516e-08,0.016429200203633528,0.01807212022399688,13.814049402819753
TJK,Others,2.13927545512844e-09,2.13927545512844e-09,2.13927545512844e-09,5.791029424949395e-09,0.006583837869736451,0.007242221656710096,4.196676518765278
TJK,Re-export & Re-import,0.0,0.0,0.0,0.0,,0.0,11.773161251296713
KHM,Agriculture,1.5871210716616182e-06,1.5871210716616182e-06,1.5871210716616182e-06,4.295929260539264e-06,0.041202375026439905,5.372979234372885,24720.64217073844
KHM,Fishing,1.4081089439151849e-06,1.4081089439151849e-06,1.4081089439151849e-06,3.8057122623098595e-06,0.03857080757748502,4.7669583943398575,3485.9138764303625
KHM,Mining and Quarrying,1.1863379514403046e-06,1.1863379514403046e-06,1.1863379514403046e-06,3.204039998904211e-06,0.03202815511591409,4.016183322022094,621.7978062358677
KHM,Food & Beverages,4.931600239015703e-07,4.931600239015703e-07,4.931600239015703e-07,1.3344416293624136e-06,0.012251147782947228,1.6695251641211335,1440.6614723878963
KHM,Textiles and Wearing Apparel,4.538357079949144e-06,4.538357079949144e-06,4.538357079949144e-06,1.2314384267248817e-05,0.10239732413826484,15.363981226212843,53772.21401669942
