region,sector,CO2 shares,CO2 shares without russia,CO2 shares without china,CO2 shares without india,Sectoral CO2 share,Embodied CO2,Embodied value added
MNG,Agriculture,1.9734213522842844e-07,1.9734213522842844e-07,5.068223060853379e-07,1.9734213522842844e-07,0.027856015667229898,2.768940883752419,6136.067419146068
MNG,Fishing,1.9906762594605937e-09,1.9906762594605937e-09,5.6167788039929635e-09,1.9906762594605937e-09,0.0253922866901155,0.02793151535912705,23.49235962310099
MNG,Mining and Quarrying,1.4804378521347724e-05,1.4804378521347724e-05,3.22835952011587e-05,1.4804378521347724e-05,0.028818733512618423,207.7227394892435,2692.540035830642
MNG,Food & Beverages,1.12528020597757e-08,1.12528020597757e-08,3.0879118839594945e-08,1.12528020597757e-08,0.0018961593948340078,0.15788996933685662,92.22426295029959
MNG,Textiles and Wearing Apparel,3.093584753038694e-07,3.093584753038694e-07,6.610893816830421e-07,3.093584753038694e-07,0.04643620168162659,4.340661101151391,1982.2407156642673
MNG,Wood and Paper,5.8915410125923015e-08,5.8915410125923015e-08,1.5054467161968854e-07,5.8915410125923015e-08,0.023286958214988347,0.8266520861947638,810.1020449913717
MNG,"Petroleum, Chemical and Non-Metallic Mineral Products",4.228258502067044e-07,4.228258502067044e-07,1.0185730177706502e-06,4.228258502067044e-07,0.024154823971206607,5.932741033685044,1467.482851687509
MNG,Metal Products,9.507456449521534e-08,9.507456449521534e-08,1.9787062885916395e-07,9.507456449521534e-08,0.02929791463664911,1.3340072981932256,1403.8300883552874
MNG,Electrical and Machinery,1.5345424121250666e-07,1.5345424121250666e-07,4.07212995869637e-07,1.5345424121250666e-07,0.017876561237921664,2.1531424183014747,1605.7120588248479
MNG,Transport Equipment,4.440882802274823e-08,4.440882802274823e-08,1.2119947652547373e-07,4.440882802274823e-08,0.011233867020279027,0.6231077786271148,301.76413589873516
MNG,Other Manufacturing,3.1585986936877703e-08,3.1585986936877703e-08,8.352238342748842e-08,3.1585986936877703e-08,0.029301320056043724,0.4431883261116725,374.30092265991385
MNG,Recycling,3.146079732870251e-08,3.146079732870251e-08,6.95045834509789e-08,3.146079732870251e-08,0.03749908846064701,0.4414317695410445,58.528202278493254
MNG,"Electricity, Gas and Water",3.5845802298326365e-06,3.5845802298326365e-06,8.232224459623141e-06,3.5845802298326365e-06,0.007200928931749857,50.29585160809794,2873.1202372656708
MNG,Construction,1.3976820849136865e-07,1.3976820849136865e-07,3.6758838819241926e-07,1.3976820849136865e-07,0.01151157183567443,1.961111377925496,2185.9784221635605
MNG,Maintenance and Repair,4.2396671473089565e-09,4.2396671473089565e-09,1.1958752876695244e-08,4.2396671473089565e-09,0.05407953360749076,0.05948748696823984,221.4329767185595
MNG,Wholesale Trade,7.30272497852039e-08,7.30272497852039e-08,1.8794968694235357e-07,7.30272497852039e-08,0.021447346354377686,1.0246576957535711,4103.199067787767
MNG,Retail Trade,2.5203646103059003e-08,2.5203646103059003e-08,6.882310620748736e-08,2.5203646103059003e-08,0.012153630664530589,0.35363662217197944,2165.6554481127055
MNG,Hotels and Restraurants,2.930330229030822e-08,2.930330229030822e-08,8.147564664824311e-08,2.930330229030822e-08,0.015472076091335303,0.41115959167397176,1039.5796230300828
MNG,Transport,1.5055593232799918e-06,1.5055593232799918e-06,3.929941175571392e-06,1.5055593232799918e-06,0.010743948829410505,21.12475756036135,1590.2226101898782
MNG,Post and Telecommunications,9.530904945127102e-08,9.530904945127102e-08,2.5665926625954266e-07,9.530904945127102e-08,0.018204280883622713,1.3372973962794548,1517.9657819089687
MNG,Finacial Intermediation and Business Activities,3.3525932874599933e-07,3.3525932874599933e-07,8.350331959388208e-07,3.3525932874599933e-07,0.016017707564166504,4.704080357444418,4512.140167703012
MNG,Public Administration,4.8371211160903e-08,4.8371211160903e-08,1.3565384035959395e-07,4.8371211160903e-08,0.005728625601428017,0.6787046467547857,672.431801721222
MNG,"Education, Health and Other Services",8.189342038546727e-08,8.189342038546727e-08,2.1807546279584183e-07,8.189342038546727e-08,0.010545102236502745,1.1490604353356473,2958.017173463621
MNG,Private Households,3.3418297345114907e-09,3.3418297345114907e-09,9.524098979619638e-09,3.3418297345114907e-09,0.04262707122013987,0.046889778342153854,155.89231470059792
MNG,Others,1.6307203082877112e-09,1.6307203082877112e-09,4.083714618787227e-09,1.6307203082877112e-09,0.02080082955862205,0.022880912514484257,58.214865669124364
MNG,Re-export & Re-import,0.0,0.0,0.0,0.0,,0.0,0.19746123916009478
IDN,Agriculture,1.1450694403092272e-05,1.1450694403092272e-05,3.2629605939933336e-05,1.1450694403092272e-05,0.02678424903812113,160.66663028337246,713730.597818429
IDN,Fishing,2.240359321713411e-07,2.240359321713411e-07,6.480774826085053e-07,2.240359321713411e-07,0.011212244118930403,3.143486064447153,31437.450672863004
IDN,Mining and Quarrying,2.776162580166196e-05,2.776162580166196e-05,7.588078275200916e-05,2.776162580166196e-05,0.02154634337365297,389.5280680564166,245794.221303621
IDN,Food & Beverages,2.8108148592202872e-05,2.8108148592202872e-05,8.120360132269972e-05,2.8108148592202872e-05,0.012353867030484513,394.3901879517448,262520.90978449903
IDN,Textiles and Wearing Apparel,7.616419912228105e-05,7.616419912228105e-05,0.0002165160697408407,7.616419912228105e-05,0.09453276409185898,1068.6727625797143,527837.8682215083
IDN,Wood and Paper,3.1738785870981626e-05,3.1738785870981626e-05,8.869371771274113e-05,3.1738785870981626e-05,0.04908186464560679,445.3322738050751,258137.23236793274
IDN,"Petroleum, Chemical and Non-Metallic Mineral Products",0.00015866376513250344,0.00015866376513250344,0.000442378580652441,0.00015866376513250344,0.026554959582468455,2226.238129717935,312915.6772319335
IDN,Metal Products,9.459595825561336e-06,9.459595825561336e-06,2.655304030121727e-05,9.459595825561336e-06,0.019534238005967427,132.72918930795686,64430.94926936273
IDN,Electrical and Machinery,3.71551661818506e-05,3.71551661818506e-05,0.00010350780553404608,3.71551661818506e-05,0.0468690271199447,521.3304222357518,217756.78083116148
IDN,Transport Equipment,4.691060808651322e-06,4.691060808651322e-06,1.3394181484716408e-05,4.691060808651322e-06,0.00770203685178617,65.82106779278499,58534.01668657306
IDN,Other Manufacturing,2.5417084289547758e-05,2.5417084289547758e-05,7.376683294126411e-05,2.5417084289547758e-05,0.18469999871764137,356.631409473934,100349.91040327783
IDN,Recycling,4.315525723063278e-06,4.315525723063278e-06,1.2501670112899682e-05,4.315525723063278e-06,0.176633268242047,60.551871477641434,16618.399735938397
IDN,"Electricity, Gas and Water",0.00016651125005693563,0.00016651125005693563,0.00047122461826806935,0.00016651125005693563,0.013242131505235169,2336.3475182514026,25615.04949846671
IDN,Construction,1.1948006220202199e-06,1.1948006220202199e-06,3.405907896911276e-06,1.1948006220202199e-06,0.000645428980116836,16.764449651946514,29782.61031561326
IDN,Maintenance and Repair,6.291286091310803e-08,6.291286091310803e-08,1.7974298371006623e-07,6.291286091310803e-08,0.020202918199429154,0.882740994438371,12103.952148723793
IDN,Wholesale Trade,8.108768620301604e-07,8.108768620301604e-07,2.316687277373368e-06,8.108768620301604e-07,0.02020291866673313,11.377550427156496,156006.33185695327
IDN,Retail Trade,1.8034975372271234e-06,1.8034975372271234e-06,5.152619367939753e-06,1.8034975372271234e-06,0.020202903451204023,25.305179042451126,346978.8059033938
IDN,Hotels and Restraurants,7.886616541533143e-07,7.886616541533143e-07,2.2728570443629192e-06,7.886616541533143e-07,0.007621841370145041,11.065845087290505,93953.67638564092
IDN,Transport,4.559788721495097e-05,4.559788721495097e-05,0.00012974700924517715,4.559788721495097e-05,0.006081241691772723,639.7916693060145,164307.85302166885
IDN,Post and Telecommunications,3.7057284130591553e-07,3.7057284130591553e-07,1.0595080545174276e-06,3.7057284130591553e-07,0.026484638117271135,5.199570226158329,41134.35084545848
IDN,Finacial Intermediation and Business Activities,2.659646999262303e-06,2.659646999262303e-06,7.582325124608865e-06,2.659646999262303e-06,0.017192308180206343,37.31795697904226,396966.95741932845
IDN,Public Administration,1.3921542111737673e-07,1.3921542111737673e-07,3.9769661999192607e-07,1.3921542111737673e-07,0.037325138291266456,1.9533551247659933,2874.0916361349546
IDN,"Education, Health and Other Services",3.725218740390792e-07,3.725218740390792e-07,1.0627340443218757e-06,3.725218740390792e-07,0.005622888011628524,5.226917434155149,160232.0659345711
IDN,Private Households,3.8148935587117235e-11,3.8148935587117235e-11,1.0874639364084627e-10,3.8148935587117235e-11,0.00022306176057562316,0.0005352741688769845,24.682676054735012
IDN,Others,1.0948736464100692e-08,1.0948736464100692e-08,3.121019197935378e-08,1.0948736464100692e-08,0.00022306176370809702,0.153623573525174,7083.906267136263
IDN,Re-export & Re-import,0.0,0.0,0.0,0.0,,0.0,0.010440024803361512
CPV,Agriculture,1.200821881208728e-08,1.200821881208728e-08,3.436400831058171e-08,1.200821881208728e-08,0.02513149743707657,0.1684893495823668,294.98346431742993
CPV,Fishing,2.2718873670900657e-08,2.2718873670900657e-08,6.526767207207974e-08,2.2718873670900657e-08,0.050087095912299345,0.3187723598274974,273.6273075817687
CPV,Mining and Quarrying,1.1034848210058705e-08,1.1034848210058705e-08,3.155878480765482e-08,1.1034848210058705e-08,0.024565323906116928,0.15483182200023204,76.90592259316308
CPV,Food & Beverages,1.1252389513635689e-08,1.1252389513635689e-08,3.2210378360170516e-08,1.1252389513635689e-08,0.023408455588743198,0.15788418083217567,81.54522771983403
CPV,Textiles and Wearing Apparel,5.6117118938504714e-08,5.6117118938504714e-08,1.6246755916736538e-07,5.6117118938504714e-08,0.12389599592734057,0.787388789157272,333.710148150414
CPV,Wood and Paper,1.0804948547909323e-08,1.0804948547909323e-08,3.090353614996096e-08,1.0804948547909323e-08,0.023332552680596287,0.15160606094849605,127.29704093821681
CPV,"Petroleum, Chemical and Non-Metallic Mineral Products",1.3829616161359861e-08,1.3829616161359861e-08,3.9543148110646994e-08,1.3829616161359861e-08,0.021350143682152368,0.1940456839157384,153.85639442244187
CPV,Metal Products,1.2787819171958032e-08,1.2787819171958032e-08,3.662415668411445e-08,1.2787819171958032e-08,0.02761526865835093,0.17942805411667984,178.39822551787267
CPV,Electrical and Machinery,1.4314989952640965e-08,1.4314989952640965e-08,4.117615325974432e-08,1.4314989952640965e-08,0.028819497333630536,0.20085604569187135,582.0472139992024
CPV,Transport Equipment,1.0954434356437042e-08,1.0954434356437042e-08,3.1236818911965036e-08,1.0954434356437042e-08,0.023368136659031667,0.15370352161645762,95.77384073430812
CPV,Other Manufacturing,1.138132105391313e-08,1.138132105391313e-08,3.250985518464328e-08,1.138132105391313e-08,0.025127668131615506,0.15969324108515276,56.42342495949868
CPV,Recycling,1.8404349208576234e-08,1.8404349208576234e-08,5.275995853885987e-08,1.8404349208576234e-08,0.041091686046872966,0.2582345372086661,5.45237363818748
CPV,"Electricity, Gas and Water",3.7944606131561925e-08,3.7944606131561925e-08,1.0829512777372042e-07,3.7944606131561925e-08,0.019650049584690917,0.5324071877196809,148.26984214227699
CPV,Construction,8.237789898335719e-09,8.237789898335719e-09,2.3568032819125197e-08,8.237789898335719e-09,0.016888487776288763,0.11558582365018688,1545.0314822723342
CPV,Maintenance and Repair,2.9384541332409865e-08,2.9384541332409865e-08,8.45575525741618e-08,2.9384541332409865e-08,0.06398252224561808,0.41229947041690596,372.32133502469867
CPV,Wholesale Trade,1.497436238941414e-08,1.497436238941414e-08,4.2800689690136886e-08,1.497436238941414e-08,0.026477113698435337,0.21010781189824868,1709.4948459394773
CPV,Retail Trade,1.3000551445752163e-08,1.3000551445752163e-08,3.696278843017848e-08,1.3000551445752163e-08,0.023515700726975116,0.18241293663819688,1319.6846638073348
CPV,Hotels and Restraurants,1.3601122901017859e-08,1.3601122901017859e-08,3.893073766584986e-08,1.3601122901017859e-08,0.024719970612363452,0.1908396563256826,775.940101545599
CPV,Transport,1.5025087855900037e-07,1.5025087855900037e-07,4.313808514216152e-07,1.5025087855900037e-07,0.028426304257669684,2.108195494997377,1546.2033380091298
CPV,Post and Telecommunications,1.3459133478892471e-08,1.3459133478892471e-08,3.8594041498705224e-08,1.3459133478892471e-08,0.02539848383317268,0.1888473787234955,1335.551334035169
