region,sector,0
URY,Agriculture,2.4434300588074928e-06
URY,Fishing,3.778498221330163e-08
URY,Mining and Quarrying,7.137874277651425e-08
URY,Food & Beverages,2.5883908491991046e-06
URY,Textiles and Wearing Apparel,9.439226144067715e-07
URY,Wood and Paper,3.0361176622765673e-07
URY,"Petroleum, Chemical and Non-Metallic Mineral Products",9.365303833183534e-07
URY,Metal Products,1.3245027361743123e-07
URY,Electrical and Machinery,1.9516054845930744e-07
URY,Transport Equipment,4.344911227133177e-08
URY,Other Manufacturing,1.823057652057074e-07
URY,Recycling,6.791775298141809e-08
URY,"Electricity, Gas and Water",3.6394111428807133e-07
URY,Construction,6.751502940486671e-07
URY,Maintenance and Repair,2.4104270302447575e-08
URY,Wholesale Trade,7.886863761540202e-07
URY,Retail Trade,3.320861229601501e-07
URY,Hotels and Restraurants,1.0244898303884719e-07
URY,Transport,1.1848291240938615e-06
URY,Post and Telecommunications,2.4641744947001563e-07
URY,Finacial Intermediation and Business Activities,1.4708692328681475e-06
URY,Public Administration,1.1154110645083516e-07
URY,"Education, Health and Other Services",8.405707045446849e-07
URY,Private Households,3.320125957709726e-08
URY,Others,3.922081604030414e-14
URY,Re-export & Re-import,8.559236092540422e-13
BRN,Agriculture,8.155974945559233e-09
BRN,Fishing,1.8409355878568528e-09
BRN,Mining and Quarrying,8.462518036726655e-07
BRN,Food & Beverages,1.0522058778667198e-08
BRN,Textiles and Wearing Apparel,2.172567345534765e-08
BRN,Wood and Paper,2.3841427060694145e-08
BRN,"Petroleum, Chemical and Non-Metallic Mineral Products",5.259784277933657e-08
BRN,Metal Products,3.998611745580982e-08
BRN,Electrical and Machinery,8.317336273979392e-08
BRN,Transport Equipment,1.5102681660948253e-08
BRN,Other Manufacturing,1.4527121490042242e-08
BRN,Recycling,2.1138653741531458e-09
BRN,"Electricity, Gas and Water",3.697632524364653e-07
BRN,Construction,2.288444148896703e-08
BRN,Maintenance and Repair,1.51176480866846e-08
BRN,Wholesale Trade,8.244731940111887e-08
BRN,Retail Trade,3.3576451737677676e-08
BRN,Hotels and Restraurants,2.4726024149477615e-08
BRN,Transport,8.079107402034653e-08
BRN,Post and Telecommunications,4.961516304977358e-08
BRN,Finacial Intermediation and Business Activities,1.4156864083531706e-07
BRN,Public Administration,8.862302516827162e-09
BRN,"Education, Health and Other Services",3.19341691308986e-08
BRN,Private Households,8.468256834881847e-09
BRN,Others,1.2392495072364613e-09
BRN,Re-export & Re-import,1.903280589721787e-12
SGP,Agriculture,7.986657344280097e-08
SGP,Fishing,1.0106595083874923e-07
SGP,Mining and Quarrying,1.558092934774942e-07
SGP,Food & Beverages,1.324610645249593e-06
SGP,Textiles and Wearing Apparel,1.0419198368280148e-06
SGP,Wood and Paper,6.2316228639495885e-06
SGP,"Petroleum, Chemical and Non-Metallic Mineral Products",1.0951668253005599e-05
SGP,Metal Products,6.019329633772362e-06
SGP,Electrical and Machinery,4.519197260150854e-05
SGP,Transport Equipment,4.486053749593702e-06
SGP,Other Manufacturing,6.70214548251589e-07
SGP,Recycling,1.2544905571332661e-07
SGP,"Electricity, Gas and Water",1.3941572082339966e-06
SGP,Construction,6.31874054703432e-06
SGP,Maintenance and Repair,2.061684603144726e-06
SGP,Wholesale Trade,2.6572810862908914e-05
SGP,Retail Trade,5.9101537391747945e-05
SGP,Hotels and Restraurants,2.4387655929262605e-05
SGP,Transport,3.246829636211207e-05
SGP,Post and Telecommunications,1.2679135524909702e-05
SGP,Finacial Intermediation and Business Activities,0.00016883708505655967
SGP,Public Administration,5.0196584288883715e-06
SGP,"Education, Health and Other Services",9.384881507521724e-06
SGP,Private Households,5.998955478221404e-07
SGP,Others,8.300244660737053e-07
SGP,Re-export & Re-import,6.917489837807911e-13
KWT,Agriculture,2.7969001388250337e-08
KWT,Fishing,1.759026473362221e-08
KWT,Mining and Quarrying,4.584764153572662e-06
KWT,Food & Beverages,2.93159189875201e-07
KWT,Textiles and Wearing Apparel,2.2281271276265553e-07
KWT,Wood and Paper,3.824080776243242e-07
KWT,"Petroleum, Chemical and Non-Metallic Mineral Products",3.1097407010415082e-06
KWT,Metal Products,3.383698388204976e-07
KWT,Electrical and Machinery,9.525435134827555e-07
KWT,Transport Equipment,1.8808997382649266e-07
KWT,Other Manufacturing,1.4956342021632723e-07
KWT,Recycling,4.229900919257858e-08
KWT,"Electricity, Gas and Water",1.677683490101397e-07
KWT,Construction,2.0820195235379816e-07
KWT,Maintenance and Repair,4.903086426873063e-08
KWT,Wholesale Trade,6.319525693392728e-07
KWT,Retail Trade,1.4055549822993399e-06
KWT,Hotels and Restraurants,8.916625814308628e-07
KWT,Transport,1.7211009933929617e-06
KWT,Post and Telecommunications,5.640198492541371e-07
KWT,Finacial Intermediation and Business Activities,9.044080836224887e-06
KWT,Public Administration,3.134985880456777e-07
KWT,"Education, Health and Other Services",2.5458102089425685e-06
KWT,Private Households,3.5478859341143473e-08
KWT,Others,7.991153807573598e-08
KWT,Re-export & Re-import,1.5122336839546805e-12
AUS,Agriculture,1.303007275948969e-05
AUS,Fishing,3.6359941029715634e-07
AUS,Mining and Quarrying,2.9190904740229224e-05
AUS,Food & Beverages,5.105517843247115e-06
AUS,Textiles and Wearing Apparel,4.370696674649562e-06
AUS,Wood and Paper,8.531527359543053e-06
AUS,"Petroleum, Chemical and Non-Metallic Mineral Products",1.3765182292530163e-05
AUS,Metal Products,1.8598933109932035e-05
AUS,Electrical and Machinery,2.5194554356792516e-05
AUS,Transport Equipment,6.330336111337271e-06
AUS,Other Manufacturing,5.268480812271332e-06
AUS,Recycling,4.2432457653158264e-07
AUS,"Electricity, Gas and Water",2.7907248747728147e-06
AUS,Construction,9.194307042890897e-07
AUS,Maintenance and Repair,1.0687655385681172e-06
AUS,Wholesale Trade,3.2886394329327766e-05
AUS,Retail Trade,1.7703118511742947e-05
AUS,Hotels and Restraurants,1.1679877459613505e-05
AUS,Transport,1.5762001883237116e-05
AUS,Post and Telecommunications,5.521132246817042e-06
AUS,Finacial Intermediation and Business Activities,6.403595414988946e-05
AUS,Public Administration,2.161186240555325e-06
AUS,"Education, Health and Other Services",1.7172208083469876e-05
AUS,Private Households,6.119640971956366e-08
AUS,Others,2.888094580007243e-07
AUS,Re-export & Re-import,6.714507499350662e-13
BMU,Agriculture,2.934376319273864e-08
BMU,Fishing,6.090085849209007e-09
BMU,Mining and Quarrying,2.4222163075167194e-10
BMU,Food & Beverages,1.8157710661902713e-08
BMU,Textiles and Wearing Apparel,3.2266307305299814e-09
BMU,Wood and Paper,6.5079330084361955e-09
BMU,"Petroleum, Chemical and Non-Metallic Mineral Products",1.7376264142211747e-08
BMU,Metal Products,8.754841395929952e-09
BMU,Electrical and Machinery,1.6055752489474796e-08
BMU,Transport Equipment,1.8437268924116338e-08
BMU,Other Manufacturing,4.981968582906275e-09
BMU,Recycling,3.7626901703791484e-10
BMU,"Electricity, Gas and Water",9.331360914473265e-10
BMU,Construction,2.1179181613003985e-07
BMU,Maintenance and Repair,8.171268819040994e-08
BMU,Wholesale Trade,4.579382347555776e-07
BMU,Retail Trade,2.629140846296648e-07
BMU,Hotels and Restraurants,2.408232937996624e-07
BMU,Transport,2.3022711033238787e-07
BMU,Post and Telecommunications,1.3233540024905802e-07
BMU,Finacial Intermediation and Business Activities,1.0016917169819002e-06
BMU,Public Administration,8.525314772148812e-07
BMU,"Education, Health and Other Services",1.8015877832950625e-06
BMU,Private Households,3.1720900501365715e-07
BMU,Others,8.270164813453594e-08
BMU,Re-export & Re-import,3.5718248219275563e-12
CYM,Agriculture,5.323402348802672e-09
CYM,Fishing,1.1820587690841697e-09
CYM,Mining and Quarrying,1.662935272837727e-08
CYM,Food & Beverages,3.5688971871782632e-09
CYM,Textiles and Wearing Apparel,1.7710119541276063e-09
CYM,Wood and Paper,5.528033668497087e-09
CYM,"Petroleum, Chemical and Non-Metallic Mineral Products",1.190550484697861e-08
CYM,Metal Products,1.501549337014097e-08
CYM,Electrical and Machinery,3.741916684269873e-08
CYM,Transport Equipment,1.3615780787777067e-07
CYM,Other Manufacturing,3.0629877475800783e-09
CYM,Recycling,1.1423678351416171e-10
CYM,"Electricity, Gas and Water",5.338231485960474e-08
CYM,Construction,1.5187564603049024e-07
CYM,Maintenance and Repair,2.4297264864057893e-08
CYM,Wholesale Trade,5.693582184555219e-07
CYM,Retail Trade,1.4696780726989825e-07
CYM,Hotels and Restraurants,2.120442666050925e-07
CYM,Transport,6.834246168079129e-07
CYM,Post and Telecommunications,2.8428605169755676e-07
CYM,Finacial Intermediation and Business Activities,1.3514289329464585e-06
CYM,Public Administration,2.3051426172984783e-07
CYM,"Education, Health and Other Services",8.721185630615264e-07
CYM,Private Households,3.052439714265663e-08
CYM,Others,1.108072286946698e-08
CYM,Re-export & Re-import,3.710926332731832e-13
TWN,Agriculture,7.024075248661092e-07
TWN,Fishing,1.1009341422004962e-07
TWN,Mining and Quarrying,1.6373945213343393e-06
TWN,Food & Beverages,3.211035032483052e-07
TWN,Textiles and Wearing Apparel,5.292409305214686e-06
TWN,Wood and Paper,2.995832409654711e-06
TWN,"Petroleum, Chemical and Non-Metallic Mineral Products",1.265707544562853e-05
TWN,Metal Products,1.1605189258821883e-05
TWN,Electrical and Machinery,3.572057268702652e-05
TWN,Transport Equipment,9.395980012721313e-06
TWN,Other Manufacturing,1.4758790332808897e-06
TWN,Recycling,3.115678531659772e-06
TWN,"Electricity, Gas and Water",2.3365553856732434e-06
TWN,Construction,2.3367340773095557e-06
TWN,Maintenance and Repair,8.668042613959806e-07
TWN,Wholesale Trade,1.6875680473092015e-05
TWN,Retail Trade,2.1126341602385685e-05
TWN,Hotels and Restraurants,2.9276623635117768e-06
TWN,Transport,1.1051946121808856e-05
TWN,Post and Telecommunications,2.812370209552227e-06
TWN,Finacial Intermediation and Business Activities,3.228354304389638e-05
TWN,Public Administration,7.00725403590989e-08
TWN,"Education, Health and Other Services",1.0695960809164726e-05
TWN,Private Households,2.4272138601691603e-08
TWN,Others,5.980515099532931e-07
TWN,Re-export & Re-import,4.968280883361122e-13
AND,Agriculture,1.9156283302306453e-08
AND,Fishing,2.197101351804311e-09
AND,Mining and Quarrying,1.4854988421389212e-08
AND,Food & Beverages,4.820943030000445e-08
AND,Textiles and Wearing Apparel,3.5777979855024936e-08
AND,Wood and Paper,1.0449488493654288e-07
AND,"Petroleum, Chemical and Non-Metallic Mineral Products",8.929073936151677e-08
AND,Metal Products,1.0166206518080029e-07
AND,Electrical and Machinery,2.931687252225528e-07
AND,Transport Equipment,6.121948596356186e-08
AND,Other Manufacturing,1.8755088714468664e-08
AND,Recycling,7.147828824521306e-10
AND,"Electricity, Gas and Water",3.830592443699858e-08
AND,Construction,1.6482312902832805e-07
AND,Maintenance and Repair,4.420311745655627e-08
AND,Wholesale Trade,8.34161007633699e-07
AND,Retail Trade,1.6941614909501462e-07
AND,Hotels and Restraurants,1.2641290023374188e-07
AND,Transport,2.6039602296090726e-07
AND,Post and Telecommunications,1.5719360502677402e-07
AND,Finacial Intermediation and Business Activities,1.0094104987962404e-06
AND,Public Administration,5.766207029561571e-08
AND,"Education, Health and Other Services",1.941853916492029e-07
AND,Private Households,1.7958925662817725e-08
AND,Others,2.0289709941090856e-08
AND,Re-export & Re-import,6.352119178342189e-12
BHR,Agriculture,9.837206760966808e-09
BHR,Fishing,4.5214282070137e-09
BHR,Mining and Quarrying,4.1474834361381206e-07
BHR,Food & Beverages,5.962148398675952e-08
BHR,Textiles and Wearing Apparel,1.1866068127091247e-06
BHR,Wood and Paper,2.7203353511024377e-07
BHR,"Petroleum, Chemical and Non-Metallic Mineral Products",2.2018512730967987e-06
BHR,Metal Products,2.99450906994775e-06
BHR,Electrical and Machinery,8.297106971451985e-07
BHR,Transport Equipment,1.8137269772341882e-07
BHR,Other Manufacturing,1.3373860106968965e-07
BHR,Recycling,1.8649679695086283e-08
BHR,"Electricity, Gas and Water",9.093556173355557e-07
BHR,Construction,9.001149961136442e-07
BHR,Maintenance and Repair,9.191714862313208e-08
BHR,Wholesale Trade,1.2628263853171887e-06
BHR,Retail Trade,2.1570280169488084e-07
BHR,Hotels and Restraurants,3.2842731889758255e-07
BHR,Transport,1.633320325177156e-06
BHR,Post and Telecommunications,7.859268435258084e-07
BHR,Finacial Intermediation and Business Activities,2.0606071508381265e-06
BHR,Public Administration,1.7041076309583007e-07
BHR,"Education, Health and Other Services",1.21231680560958e-06
BHR,Private Households,1.1818641090565156e-07
BHR,Others,3.8776366315303356e-08
BHR,Re-export & Re-import,7.845330836758514e-12
MAC,Agriculture,4.639741165576898e-07
MAC,Fishing,4.882080689190788e-07
MAC,Mining and Quarrying,2.271890646058591e-09
MAC,Food & Beverages,6.428514141957159e-09
MAC,Textiles and Wearing Apparel,3.638486083601759e-07
MAC,Wood and Paper,2.0458314255810076e-08
MAC,"Petroleum, Chemical and Non-Metallic Mineral Products",4.4269727821728686e-08
MAC,Metal Products,1.6940998778755605e-08
MAC,Electrical and Machinery,1.2191503227223335e-07
MAC,Transport Equipment,7.522314849988664e-09
MAC,Other Manufacturing,2.4440201440775948e-08
MAC,Recycling,7.969968349885555e-10
MAC,"Electricity, Gas and Water",7.6982837256517e-09
MAC,Construction,1.8021004439552267e-06
MAC,Maintenance and Repair,3.095497105311397e-07
MAC,Wholesale Trade,1.3377438215287105e-05
MAC,Retail Trade,7.505181201755694e-07
MAC,Hotels and Restraurants,3.3796985172020047e-06
MAC,Transport,1.593164730962629e-06
MAC,Post and Telecommunications,1.5760558110182107e-06
MAC,Finacial Intermediation and Business Activities,1.0251342156289733e-05
MAC,Public Administration,8.920997513694894e-07
MAC,"Education, Health and Other Services",9.158168143670409e-06
MAC,Private Households,2.2823897720994295e-07
MAC,Others,2.330581415054902e-08
MAC,Re-export & Re-import,3.322284895651185e-12
HKG,Agriculture,5.375150055721158e-08
HKG,Fishing,9.918990597808089e-09
HKG,Mining and Quarrying,1.528904340487404e-07
HKG,Food & Beverages,1.8626285036736977e-06
HKG,Textiles and Wearing Apparel,0.0001269221158562449
HKG,Wood and Paper,1.4428864341840058e-05
HKG,"Petroleum, Chemical and Non-Metallic Mineral Products",9.641349670529312e-06
HKG,Metal Products,1.27448605056706e-05
HKG,Electrical and Machinery,0.00018961197344776875
HKG,Transport Equipment,1.0499921671832214e-05
HKG,Other Manufacturing,1.5988624606158417e-05
HKG,Recycling,5.956560090106449e-06
HKG,"Electricity, Gas and Water",9.569112705478106e-07
HKG,Construction,2.9362572869729093e-05
HKG,Maintenance and Repair,1.551543529336341e-06
HKG,Wholesale Trade,1.9997651368828194e-05
HKG,Retail Trade,4.447752421154888e-05
HKG,Hotels and Restraurants,2.0687218450169755e-06
HKG,Transport,1.275711310392745e-05
HKG,Post and Telecommunications,1.0324008730795372e-06
HKG,Finacial Intermediation and Business Activities,1.6164002554015623e-05
HKG,Public Administration,5.591157791402476e-06
HKG,"Education, Health and Other Services",1.279206341492975e-05
HKG,Private Households,7.374274367061453e-08
HKG,Others,2.1164201255074244e-05
HKG,Re-export & Re-import,8.714216317702885e-13
GUY,Agriculture,1.0839800503858692e-09
GUY,Fishing,1.0754952050785125e-10
GUY,Mining and Quarrying,2.3075277337175145e-09
GUY,Food & Beverages,2.1599491035078007e-09
GUY,Textiles and Wearing Apparel,6.804258192231595e-10
GUY,Wood and Paper,4.3502682405391345e-09
GUY,"Petroleum, Chemical and Non-Metallic Mineral Products",7.64366209660991e-09
GUY,Metal Products,6.211848417846906e-09
GUY,Electrical and Machinery,6.580276873435536e-09
GUY,Transport Equipment,1.3819388384886162e-09
GUY,Other Manufacturing,9.383011195467542e-10
GUY,Recycling,5.509561254777028e-10
GUY,"Electricity, Gas and Water",2.421707796472677e-09
GUY,Construction,1.3780395897169297e-08
GUY,Maintenance and Repair,5.075627548792198e-10
GUY,Wholesale Trade,3.124451427050508e-08
GUY,Retail Trade,6.758295313081783e-09
GUY,Hotels and Restraurants,3.359854415960842e-09
GUY,Transport,1.2314687360692329e-08
GUY,Post and Telecommunications,5.894821377576344e-09
GUY,Finacial Intermediation and Business Activities,7.068262317081591e-08
GUY,Public Administration,3.0868183186251024e-09
GUY,"Education, Health and Other Services",9.99155654687418e-09
GUY,Private Households,2.302002328535796e-09
GUY,Others,1.0748830369599404e-10
GUY,Re-export & Re-import,3.17308186311043e-16
VGB,Agriculture,1.2060891989677999e-09
VGB,Fishing,1.2770052661345303e-10
VGB,Mining and Quarrying,3.629041530585632e-09
VGB,Food & Beverages,3.79476065892838e-09
VGB,Textiles and Wearing Apparel,3.1291669422864507e-09
VGB,Wood and Paper,6.11557626914157e-09
VGB,"Petroleum, Chemical and Non-Metallic Mineral Products",7.861726239428924e-09
VGB,Metal Products,1.0006650624505422e-08
VGB,Electrical and Machinery,1.1696017504811308e-08
VGB,Transport Equipment,2.267720689937814e-08
VGB,Other Manufacturing,7.424987765520187e-09
VGB,Recycling,1.7028742302473912e-10
