region,sector,0
LBR,Agriculture,7.201610340559136e-05
LBR,Fishing,5.806500068607139e-06
LBR,Mining and Quarrying,5.785479165317814e-07
LBR,Food & Beverages,4.266162112622725e-07
LBR,Textiles and Wearing Apparel,3.368347660680775e-07
LBR,Wood and Paper,9.076137848605549e-07
LBR,"Petroleum, Chemical and Non-Metallic Mineral Products",2.0519835030864075e-06
LBR,Metal Products,3.0494104585655207e-06
LBR,Electrical and Machinery,8.187683460053802e-06
LBR,Transport Equipment,3.541092004009187e-06
LBR,Other Manufacturing,5.69220514803481e-07
LBR,Recycling,3.772534360477467e-08
LBR,"Electricity, Gas and Water",1.2013201271894666e-06
LBR,Construction,2.725480020601158e-06
LBR,Maintenance and Repair,2.614459267542681e-07
LBR,Wholesale Trade,6.587990868001684e-06
LBR,Retail Trade,8.284658454419898e-07
LBR,Hotels and Restraurants,8.852674635241632e-07
LBR,Transport,6.386076746560161e-06
LBR,Post and Telecommunications,4.161937621379491e-06
LBR,Finacial Intermediation and Business Activities,1.0627970356155777e-05
LBR,Public Administration,1.665145443498001e-07
LBR,"Education, Health and Other Services",8.604525659648403e-07
LBR,Private Households,4.340541364573098e-08
LBR,Others,2.587468798732898e-08
LBR,Re-export & Re-import,1.211600870593601e-14
PRK,Agriculture,1.5156475550054432e-06
PRK,Fishing,2.759296925391486e-06
PRK,Mining and Quarrying,1.057048294346434e-05
PRK,Food & Beverages,1.5859356918062363e-07
PRK,Textiles and Wearing Apparel,9.517470160242394e-07
PRK,Wood and Paper,1.2641722141607672e-06
PRK,"Petroleum, Chemical and Non-Metallic Mineral Products",3.262979026389566e-06
PRK,Metal Products,2.3844486727368826e-06
PRK,Electrical and Machinery,3.987642843467658e-06
PRK,Transport Equipment,5.812164166709335e-07
PRK,Other Manufacturing,5.922931216766663e-07
PRK,Recycling,1.0931809821713189e-07
PRK,"Electricity, Gas and Water",2.894720110697809e-06
PRK,Construction,1.891456509802245e-05
PRK,Maintenance and Repair,3.5063102730615806e-08
PRK,Wholesale Trade,9.281958231394034e-07
PRK,Retail Trade,1.7453479431740835e-07
PRK,Hotels and Restraurants,9.028464469130633e-08
PRK,Transport,8.043963988889301e-07
PRK,Post and Telecommunications,4.4399495527256633e-07
PRK,Finacial Intermediation and Business Activities,9.088120567394925e-06
PRK,Public Administration,1.0860291248093863e-07
PRK,"Education, Health and Other Services",1.070039325116499e-06
PRK,Private Households,3.0784511282200783e-09
PRK,Others,6.673072991670825e-08
PRK,Re-export & Re-import,1.9263067426092213e-14
MOZ,Agriculture,0.0006122733974774414
MOZ,Fishing,6.924176412483212e-05
MOZ,Mining and Quarrying,5.4925840427857854e-05
MOZ,Food & Beverages,1.651752313417808e-05
MOZ,Textiles and Wearing Apparel,9.366570406741112e-06
MOZ,Wood and Paper,8.986412492812377e-06
MOZ,"Petroleum, Chemical and Non-Metallic Mineral Products",9.609918550258837e-06
MOZ,Metal Products,1.403247970729714e-05
MOZ,Electrical and Machinery,1.0577842195992816e-05
MOZ,Transport Equipment,1.6120839726409777e-06
MOZ,Other Manufacturing,1.7255300178190823e-06
MOZ,Recycling,4.843488513486484e-07
MOZ,"Electricity, Gas and Water",2.7299128090342448e-05
MOZ,Construction,5.334497037016365e-06
MOZ,Maintenance and Repair,5.668986405958902e-06
MOZ,Wholesale Trade,4.9259452971056244e-05
MOZ,Retail Trade,1.3472873380803081e-05
MOZ,Hotels and Restraurants,1.6871185802275287e-05
MOZ,Transport,8.943505992976547e-05
MOZ,Post and Telecommunications,3.715017343260191e-05
MOZ,Finacial Intermediation and Business Activities,3.690052231656734e-05
MOZ,Public Administration,2.969617278689573e-06
