region,sector,0
MNG,Agriculture,7.524569064089218e-07
MNG,Fishing,2.8808334457160305e-09
MNG,Mining and Quarrying,3.301822172653451e-07
MNG,Food & Beverages,1.1309325477568298e-08
MNG,Textiles and Wearing Apparel,2.430792582253138e-07
MNG,Wood and Paper,9.934162013079376e-08
MNG,"Petroleum, Chemical and Non-Metallic Mineral Products",1.7995525983686068e-07
MNG,Metal Products,1.7214961525872332e-07
MNG,Electrical and Machinery,1.9690610383400744e-07
MNG,Transport Equipment,3.700489135028497e-08
MNG,Other Manufacturing,4.5899970631333014e-08
MNG,Recycling,7.177227206913497e-09
MNG,"Electricity, Gas and Water",3.523265012910593e-07
MNG,Construction,2.6806331297558606e-07
MNG,Maintenance and Repair,2.7153999664129142e-08
MNG,Wholesale Trade,5.031692558158409e-07
MNG,Retail Trade,2.655711366126569e-07
MNG,Hotels and Restraurants,1.2748211740147898e-07
MNG,Transport,1.9500665557086057e-07
MNG,Post and Telecommunications,1.8614590718574253e-07
MNG,Finacial Intermediation and Business Activities,5.53317100343356e-07
MNG,Public Administration,8.245932104907395e-08
MNG,"Education, Health and Other Services",3.6273728748545145e-07
MNG,Private Households,1.9116844851887642e-08
MNG,Others,7.138803200193052e-09
MNG,Re-export & Re-import,2.4214380808539847e-11
IDN,Agriculture,8.752373156267973e-05
IDN,Fishing,3.855128254437855e-06
IDN,Mining and Quarrying,3.014138319247008e-05
IDN,Food & Beverages,3.219255235490715e-05
IDN,Textiles and Wearing Apparel,6.47279800362281e-05
IDN,Wood and Paper,3.165498845245199e-05
IDN,"Petroleum, Chemical and Non-Metallic Mineral Products",3.837238843271393e-05
IDN,Metal Products,7.901072372989318e-06
IDN,Electrical and Machinery,2.6703193179155793e-05
IDN,Transport Equipment,7.177940219209072e-06
IDN,Other Manufacturing,1.230576165197533e-05
IDN,Recycling,2.037889873203393e-06
IDN,"Electricity, Gas and Water",3.1411357774504343e-06
IDN,Construction,3.652197619756193e-06
IDN,Maintenance and Repair,1.484289817405202e-06
IDN,Wholesale Trade,1.913082660777269e-05
IDN,Retail Trade,4.2549499711309206e-05
IDN,Hotels and Restraurants,1.1521400898936478e-05
IDN,Transport,2.0148829916308596e-05
IDN,Post and Telecommunications,5.044244834686049e-06
IDN,Finacial Intermediation and Business Activities,4.8679473076565226e-05
IDN,Public Administration,3.5244562250308994e-07
IDN,"Education, Health and Other Services",1.964902215129453e-05
IDN,Private Households,3.0268001958531546e-09
IDN,Others,8.6868898774289e-07
IDN,Re-export & Re-import,1.2802448587605412e-12
CPV,Agriculture,3.617338758526378e-08
CPV,Fishing,3.3554513552042016e-08
CPV,Mining and Quarrying,9.430859970412258e-09
CPV,Food & Beverages,9.999771122302384e-09
CPV,Textiles and Wearing Apparel,4.092238376179192e-08
CPV,Wood and Paper,1.561024856417086e-08
CPV,"Petroleum, Chemical and Non-Metallic Mineral Products",1.886718294800822e-08
CPV,Metal Products,2.187671153403019e-08
CPV,Electrical and Machinery,7.137559223407644e-08
CPV,Transport Equipment,1.1744604971088693e-08
CPV,Other Manufacturing,6.9191214655735945e-09
CPV,Recycling,6.686165454399559e-10
CPV,"Electricity, Gas and Water",1.8182112273408368e-08
CPV,Construction,1.8946493414129106e-07
CPV,Maintenance and Repair,4.5657216716453983e-08
CPV,Wholesale Trade,2.0963283409891668e-07
CPV,Retail Trade,1.6183098583065404e-07
CPV,Hotels and Restraurants,9.515239134202339e-08
CPV,Transport,1.896086370836211e-07
CPV,Post and Telecommunications,1.6377669222191598e-07
CPV,Finacial Intermediation and Business Activities,1.5466917262240233e-07
CPV,Public Administration,6.13824695433241e-08
CPV,"Education, Health and Other Services",1.0036282462323003e-07
CPV,Private Households,3.205514137483693e-08
CPV,Others,6.82773375460301e-09
CPV,Re-export & Re-import,8.625502570610433e-12
BIH,Agriculture,5.083890890044739e-06
BIH,Fishing,4.7165853987364955e-07
BIH,Mining and Quarrying,3.3243970779868812e-06
BIH,Food & Beverages,1.3337917614682914e-06
BIH,Textiles and Wearing Apparel,9.347370391159702e-06
BIH,Wood and Paper,7.2074332585204255e-06
BIH,"Petroleum, Chemical and Non-Metallic Mineral Products",5.7227715414829795e-06
BIH,Metal Products,7.688686969235708e-06
BIH,Electrical and Machinery,1.195363891657024e-05
BIH,Transport Equipment,1.2067351384523956e-06
BIH,Other Manufacturing,1.3668202557660592e-06
BIH,Recycling,8.006854486089139e-08
BIH,"Electricity, Gas and Water",2.3752149023727222e-06
BIH,Construction,2.1579681385075864e-06
BIH,Maintenance and Repair,3.833153529414871e-07
BIH,Wholesale Trade,1.1927865153263563e-05
BIH,Retail Trade,1.2242261603513244e-06
BIH,Hotels and Restraurants,2.708068351153279e-06
BIH,Transport,1.0017001424643942e-05
BIH,Post and Telecommunications,3.498015802933271e-06
BIH,Finacial Intermediation and Business Activities,1.0087516656637039e-05
BIH,Public Administration,2.1222525742189064e-07
BIH,"Education, Health and Other Services",2.1349053181855317e-06
BIH,Private Households,7.508888580906308e-08
BIH,Others,1.2906320365031565e-07
BIH,Re-export & Re-import,1.6465732301053496e-11
MEX,Agriculture,4.014557521477225e-06
MEX,Fishing,2.9402769152555502e-08
MEX,Mining and Quarrying,4.243810031779027e-05
MEX,Food & Beverages,7.078628619242697e-07
MEX,Textiles and Wearing Apparel,3.499689224351603e-06
MEX,Wood and Paper,3.2116518248053037e-06
MEX,"Petroleum, Chemical and Non-Metallic Mineral Products",3.0083954830335078e-05
MEX,Metal Products,1.0059372199995566e-05
MEX,Electrical and Machinery,2.796029373244998e-05
MEX,Transport Equipment,6.340487486555887e-06
MEX,Other Manufacturing,3.341779845470796e-06
MEX,Recycling,1.1522096903858046e-06
MEX,"Electricity, Gas and Water",5.477935427969885e-06
MEX,Construction,2.4465670287913035e-06
MEX,Maintenance and Repair,1.5266896672012237e-06
MEX,Wholesale Trade,1.967731885492016e-05
MEX,Retail Trade,4.376507648227924e-05
MEX,Hotels and Restraurants,1.9873281050327282e-05
MEX,Transport,5.115012670324666e-06
MEX,Post and Telecommunications,4.019675530654715e-06
MEX,Finacial Intermediation and Business Activities,2.651570739229211e-05
MEX,Public Administration,1.3458408715808984e-06
MEX,"Education, Health and Other Services",1.2622232028477927e-05
MEX,Private Households,3.904486431023516e-11
MEX,Others,1.120587581739962e-08
MEX,Re-export & Re-import,2.3305161162390077e-12
CUB,Agriculture,1.015823155638551e-05
CUB,Fishing,4.790902619641313e-06
CUB,Mining and Quarrying,3.9235299437109577e-07
CUB,Food & Beverages,3.452480826376585e-05
CUB,Textiles and Wearing Apparel,5.494361878397135e-07
CUB,Wood and Paper,1.933863326269156e-06
CUB,"Petroleum, Chemical and Non-Metallic Mineral Products",2.646750781728493e-06
CUB,Metal Products,5.6331791050071935e-06
CUB,Electrical and Machinery,1.7740995196591013e-06
CUB,Transport Equipment,2.2433219490696928e-07
CUB,Other Manufacturing,5.671898907519431e-07
CUB,Recycling,3.411374505548213e-08
CUB,"Electricity, Gas and Water",4.87119015117836e-07
CUB,Construction,3.235370448633636e-06
CUB,Maintenance and Repair,6.972810683006443e-07
CUB,Wholesale Trade,1.1154860011877206e-05
CUB,Retail Trade,3.3298468831235285e-06
CUB,Hotels and Restraurants,3.3785810429470457e-06
CUB,Transport,1.5035020362232194e-05
CUB,Post and Telecommunications,2.9117468706595956e-06
CUB,Finacial Intermediation and Business Activities,6.102614210008376e-06
CUB,Public Administration,1.535610823297635e-07
CUB,"Education, Health and Other Services",1.7008964089300038e-06
CUB,Private Households,2.159373762594827e-07
CUB,Others,8.632004242137446e-08
CUB,Re-export & Re-import,2.3486105690437455e-11
SRB,Agriculture,1.1028371090816774e-06
SRB,Fishing,3.134311308573116e-07
SRB,Mining and Quarrying,2.258679138731605e-08
SRB,Food & Beverages,5.511745432552906e-07
SRB,Textiles and Wearing Apparel,4.6521186386188763e-07
SRB,Wood and Paper,5.903665087550299e-07
SRB,"Petroleum, Chemical and Non-Metallic Mineral Products",8.360647881060459e-07
SRB,Metal Products,1.6160258532087288e-06
SRB,Electrical and Machinery,1.0056038950757332e-06
SRB,Transport Equipment,2.728653905524284e-07
SRB,Other Manufacturing,2.2767899573368e-07
SRB,Recycling,3.283105845356879e-08
SRB,"Electricity, Gas and Water",2.2717870354771216e-07
SRB,Construction,5.528331057018513e-07
SRB,Maintenance and Repair,1.0692437816476615e-07
SRB,Wholesale Trade,1.2039401172918776e-06
SRB,Retail Trade,3.534441629770681e-07
SRB,Hotels and Restraurants,2.475574370896107e-07
SRB,Transport,4.0629046704088614e-07
SRB,Post and Telecommunications,1.7960471035201716e-07
SRB,Finacial Intermediation and Business Activities,1.6898402443564478e-06
SRB,Public Administration,1.8159324912871058e-07
SRB,"Education, Health and Other Services",4.472863351746733e-07
SRB,Private Households,7.409299235397425e-08
SRB,Others,1.8285662380218244e-08
SRB,Re-export & Re-import,2.7135161215725833e-12
ALB,Agriculture,1.4648477981238702e-05
ALB,Fishing,9.523190583970558e-07
ALB,Mining and Quarrying,8.301139030557243e-07
ALB,Food & Beverages,4.55783770823446e-07
ALB,Textiles and Wearing Apparel,2.6916848681149082e-06
ALB,Wood and Paper,1.16820242757138e-06
ALB,"Petroleum, Chemical and Non-Metallic Mineral Products",1.1912216287733758e-06
ALB,Metal Products,1.3417201484262634e-06
ALB,Electrical and Machinery,1.4862500221903343e-06
ALB,Transport Equipment,1.2273834853186211e-07
ALB,Other Manufacturing,6.252614821340547e-07
ALB,Recycling,8.531558859671166e-09
ALB,"Electricity, Gas and Water",4.717455677310208e-07
ALB,Construction,8.080694802848018e-07
ALB,Maintenance and Repair,1.4158382823750827e-07
ALB,Wholesale Trade,3.848352845908467e-06
ALB,Retail Trade,4.138893946455851e-07
ALB,Hotels and Restraurants,9.440244779480094e-07
ALB,Transport,3.782426368960221e-06
ALB,Post and Telecommunications,9.725570534451293e-07
ALB,Finacial Intermediation and Business Activities,3.728120646621803e-06
ALB,Public Administration,2.0268597769935335e-07
ALB,"Education, Health and Other Services",9.237040176169812e-07
ALB,Private Households,3.997605438778693e-08
ALB,Others,7.876645503572632e-08
ALB,Re-export & Re-import,3.9651381974547074e-11
MDA,Agriculture,1.9812697149862968e-08
MDA,Fishing,9.11719304519223e-09
MDA,Mining and Quarrying,1.893983932239104e-09
MDA,Food & Beverages,3.5700857466852056e-08
MDA,Textiles and Wearing Apparel,1.7981818054136063e-08
MDA,Wood and Paper,5.6309143176597346e-09
MDA,"Petroleum, Chemical and Non-Metallic Mineral Products",1.0182522544579525e-08
MDA,Metal Products,1.3218228592638033e-08
MDA,Electrical and Machinery,1.7153452160508495e-08
MDA,Transport Equipment,4.124256807409217e-09
MDA,Other Manufacturing,2.0620298597475796e-09
MDA,Recycling,2.500775582999952e-10
MDA,"Electricity, Gas and Water",2.071051202575622e-08
MDA,Construction,2.7334279609329176e-08
MDA,Maintenance and Repair,4.7211149073737195e-09
MDA,Wholesale Trade,4.697328708988056e-08
MDA,Retail Trade,8.956346470304307e-08
MDA,Hotels and Restraurants,1.439038605846373e-08
MDA,Transport,4.233019401261573e-08
MDA,Post and Telecommunications,3.8593146837297515e-08
MDA,Finacial Intermediation and Business Activities,5.456922051658313e-09
MDA,Public Administration,2.0766072640252014e-08
MDA,"Education, Health and Other Services",2.426854548775235e-08
MDA,Private Households,6.46660468825985e-10
MDA,Others,2.3780374393668234e-09
MDA,Re-export & Re-import,4.082001388720366e-10
UKR,Agriculture,1.734215113495127e-05
UKR,Fishing,2.696414855305717e-06
UKR,Mining and Quarrying,0.00011130949317625915
UKR,Food & Beverages,4.419507369547042e-06
UKR,Textiles and Wearing Apparel,1.2715607669152549e-05
UKR,Wood and Paper,6.564142180936124e-06
UKR,"Petroleum, Chemical and Non-Metallic Mineral Products",2.6819113367764495e-05
UKR,Metal Products,2.236712755430137e-05
UKR,Electrical and Machinery,1.998786690343332e-05
UKR,Transport Equipment,3.8444288290400065e-06
UKR,Other Manufacturing,3.14087980926932e-06
UKR,Recycling,7.404908516786139e-07
UKR,"Electricity, Gas and Water",1.360993849375861e-05
UKR,Construction,2.9506152566742704e-06
UKR,Maintenance and Repair,8.113683290291307e-07
UKR,Wholesale Trade,1.045766003452947e-05
UKR,Retail Trade,2.3259306164221127e-05
UKR,Hotels and Restraurants,6.199960503513413e-07
UKR,Transport,2.7633962136945423e-05
UKR,Post and Telecommunications,8.312087999152234e-06
UKR,Finacial Intermediation and Business Activities,3.834411388784991e-05
UKR,Public Administration,1.999239070208827e-06
UKR,"Education, Health and Other Services",1.883289922463624e-05
UKR,Private Households,2.914701984408693e-11
UKR,Others,8.365204060391219e-09
UKR,Re-export & Re-import,4.109653687460985e-12
LBY,Agriculture,1.5414884560139523e-07
LBY,Fishing,7.846407411859236e-09
LBY,Mining and Quarrying,0.00011028752260897283
LBY,Food & Beverages,9.312589131469994e-08
LBY,Textiles and Wearing Apparel,8.768863524585302e-08
LBY,Wood and Paper,4.606043992643109e-07
LBY,"Petroleum, Chemical and Non-Metallic Mineral Products",8.140621361712518e-07
LBY,Metal Products,7.709126201470188e-07
LBY,Electrical and Machinery,1.2437294975887269e-06
LBY,Transport Equipment,2.0751779850378452e-07
LBY,Other Manufacturing,1.6852950846523073e-07
LBY,Recycling,9.162948264034105e-09
LBY,"Electricity, Gas and Water",6.612579977099887e-06
LBY,Construction,1.5083043741868542e-06
LBY,Maintenance and Repair,1.6051787163821166e-07
LBY,Wholesale Trade,3.3662727406285904e-06
LBY,Retail Trade,1.1019498731146082e-06
LBY,Hotels and Restraurants,4.0038105654034445e-07
LBY,Transport,3.3651190347478873e-06
LBY,Post and Telecommunications,1.6498487437772857e-06
LBY,Finacial Intermediation and Business Activities,7.274521296675484e-06
LBY,Public Administration,6.1560593227856e-08
LBY,"Education, Health and Other Services",1.0140333243676933e-06
LBY,Private Households,1.5310880400155947e-09
LBY,Others,4.814295346466756e-08
LBY,Re-export & Re-import,1.2432967828971353e-09
SUR,Agriculture,1.472179680617981e-06
SUR,Fishing,1.0065087903192129e-07
SUR,Mining and Quarrying,1.151363100248276e-07
SUR,Food & Beverages,5.395143917962403e-07
SUR,Textiles and Wearing Apparel,4.095614284402721e-08
SUR,Wood and Paper,1.598845270265075e-07
SUR,"Petroleum, Chemical and Non-Metallic Mineral Products",2.0760223458204267e-07
SUR,Metal Products,1.1463809189633058e-06
SUR,Electrical and Machinery,2.1135192233311265e-07
SUR,Transport Equipment,4.723860808152908e-08
SUR,Other Manufacturing,3.330107326365289e-08
SUR,Recycling,5.040239488572186e-09
SUR,"Electricity, Gas and Water",3.170525081672554e-07
SUR,Construction,1.6428317398918494e-07
SUR,Maintenance and Repair,5.7734539034198044e-08
SUR,Wholesale Trade,7.134378272675755e-07
SUR,Retail Trade,1.348018243847902e-07
SUR,Hotels and Restraurants,2.388442570309434e-07
SUR,Transport,7.906730048267795e-07
SUR,Post and Telecommunications,3.049076090345023e-07
SUR,Finacial Intermediation and Business Activities,4.644525067549747e-07
SUR,Public Administration,4.076969999048092e-08
SUR,"Education, Health and Other Services",1.8560223264378606e-07
SUR,Private Households,9.711391400336619e-09
SUR,Others,3.778361074491932e-09
SUR,Re-export & Re-import,3.793146765189688e-12
AZE,Agriculture,9.097455170511606e-07
AZE,Fishing,4.384340486917671e-08
AZE,Mining and Quarrying,3.96489871814456e-05
AZE,Food & Beverages,9.454032903215868e-08
AZE,Textiles and Wearing Apparel,7.72652186585733e-08
AZE,Wood and Paper,2.440150306860949e-07
AZE,"Petroleum, Chemical and Non-Metallic Mineral Products",8.570117493862333e-07
AZE,Metal Products,4.826352988420774e-07
AZE,Electrical and Machinery,6.418703760662133e-07
AZE,Transport Equipment,1.0021966790515802e-07
AZE,Other Manufacturing,8.546367108148511e-08
AZE,Recycling,7.21241277765665e-09
AZE,"Electricity, Gas and Water",2.5491652282216784e-06
AZE,Construction,6.3425805026396825e-06
AZE,Maintenance and Repair,2.0206509647091115e-07
AZE,Wholesale Trade,5.743765306842964e-06
AZE,Retail Trade,1.25973279145794e-06
AZE,Hotels and Restraurants,1.7938455731487397e-06
AZE,Transport,8.403626871886012e-06
AZE,Post and Telecommunications,2.7078184173183247e-06
AZE,Finacial Intermediation and Business Activities,4.4354480538574325e-06
AZE,Public Administration,8.918508409037356e-08
AZE,"Education, Health and Other Services",8.220832652739281e-07
AZE,Private Households,1.8531661943978735e-08
AZE,Others,1.5818963242028973e-08
AZE,Re-export & Re-import,6.6717436413044965e-09
IRN,Agriculture,3.7497334723896705e-06
IRN,Fishing,1.661242245244378e-07
IRN,Mining and Quarrying,6.682893546804853e-05
IRN,Food & Beverages,2.0687998946904816e-06
IRN,Textiles and Wearing Apparel,6.891462572301909e-06
IRN,Wood and Paper,2.7260111010833868e-06
IRN,"Petroleum, Chemical and Non-Metallic Mineral Products",8.045642162500958e-06
IRN,Metal Products,7.472345115026212e-06
IRN,Electrical and Machinery,1.4760182825074854e-06
IRN,Transport Equipment,7.044716316435458e-07
IRN,Other Manufacturing,2.8603430462727366e-07
IRN,Recycling,1.7363280655167347e-08
IRN,"Electricity, Gas and Water",1.167474742216844e-05
IRN,Construction,4.206751067874216e-06
IRN,Maintenance and Repair,1.335113364405191e-07
IRN,Wholesale Trade,1.7208121284364166e-06
IRN,Retail Trade,3.827330514430829e-06
IRN,Hotels and Restraurants,1.3472913459967449e-05
IRN,Transport,3.209274393714197e-05
IRN,Post and Telecommunications,1.982496159552089e-05
IRN,Finacial Intermediation and Business Activities,2.9986675427330514e-05
IRN,Public Administration,4.4640782815422684e-06
IRN,"Education, Health and Other Services",3.422917489749931e-05
IRN,Private Households,1.4451438128846462e-09
IRN,Others,4.147573645500488e-07
IRN,Re-export & Re-import,7.774095594249285e-12
BRA,Agriculture,0.00012817751278575195
BRA,Fishing,4.201279530401232e-06
BRA,Mining and Quarrying,3.6759538052671995e-05
BRA,Food & Beverages,5.335356044227418e-05
BRA,Textiles and Wearing Apparel,2.3927191325571776e-05
BRA,Wood and Paper,6.512564298197685e-05
BRA,"Petroleum, Chemical and Non-Metallic Mineral Products",8.847838152780265e-05
BRA,Metal Products,7.26161576473888e-05
BRA,Electrical and Machinery,7.723918831442998e-05
BRA,Transport Equipment,6.848089631272584e-05
BRA,Other Manufacturing,5.075932608659803e-06
BRA,Recycling,4.287931406564728e-06
BRA,"Electricity, Gas and Water",1.1010172972695754e-05
BRA,Construction,5.371317648052539e-06
BRA,Maintenance and Repair,6.202091925928199e-06
BRA,Wholesale Trade,7.993776375970433e-05
BRA,Retail Trade,0.00017779304864439755
BRA,Hotels and Restraurants,2.5605127801805213e-05
BRA,Transport,0.00010322996085651632
BRA,Post and Telecommunications,3.1255105522381636e-05
BRA,Finacial Intermediation and Business Activities,0.00016818788713653915
BRA,Public Administration,3.7346565839176384e-06
BRA,"Education, Health and Other Services",4.740367567794392e-05
BRA,Private Households,1.4558666615440018e-09
BRA,Others,2.0538365675462616e-06
BRA,Re-export & Re-import,2.3517014917428304e-11
GEO,Agriculture,2.271870327812123e-06
GEO,Fishing,1.384527211772906e-08
GEO,Mining and Quarrying,1.7130990969122622e-06
GEO,Food & Beverages,8.924082254044903e-07
GEO,Textiles and Wearing Apparel,1.6294092678337647e-06
GEO,Wood and Paper,1.5428746001027365e-07
GEO,"Petroleum, Chemical and Non-Metallic Mineral Products",2.0361185714746396e-06
GEO,Metal Products,9.06038171833462e-07
GEO,Electrical and Machinery,6.555288698188657e-07
GEO,Transport Equipment,3.07222866563178e-08
GEO,Other Manufacturing,1.0270407865357102e-07
GEO,Recycling,3.826236614715299e-08
GEO,"Electricity, Gas and Water",9.679823646266723e-07
GEO,Construction,7.159106255953812e-07
GEO,Maintenance and Repair,1.1479373467279879e-07
GEO,Wholesale Trade,3.6836188653347723e-06
GEO,Retail Trade,2.31407652133667e-06
GEO,Hotels and Restraurants,1.0499670293191273e-06
GEO,Transport,5.579645307589439e-06
GEO,Post and Telecommunications,1.0106083394510554e-06
GEO,Finacial Intermediation and Business Activities,4.946374097990362e-06
GEO,Public Administration,4.833842635009332e-07
GEO,"Education, Health and Other Services",6.139562868695458e-07
GEO,Private Households,1.21950585931712e-06
GEO,Others,1.4510648763778346e-07
GEO,Re-export & Re-import,1.4031457350573456e-12
TUR,Agriculture,0.00014582210648885003
TUR,Fishing,8.415072701644553e-07
TUR,Mining and Quarrying,7.913353584245106e-05
TUR,Food & Beverages,2.9505418050058583e-05
TUR,Textiles and Wearing Apparel,0.000469543259846641
TUR,Wood and Paper,2.840027193626217e-05
TUR,"Petroleum, Chemical and Non-Metallic Mineral Products",0.0002058133349289523
TUR,Metal Products,9.928807535524155e-05
TUR,Electrical and Machinery,0.00012551350999754585
TUR,Transport Equipment,0.00021091625504514663
TUR,Other Manufacturing,1.2989927029564053e-05
TUR,Recycling,7.116926351604529e-08
TUR,"Electricity, Gas and Water",2.2895431424791894e-05
TUR,Construction,9.687889300275327e-06
TUR,Maintenance and Repair,1.9446644327746563e-05
TUR,Wholesale Trade,7.554881243916517e-05
TUR,Retail Trade,2.99773836407281e-05
TUR,Hotels and Restraurants,2.4626547257638082e-05
TUR,Transport,3.54302059064612e-05
TUR,Post and Telecommunications,5.2113513829275935e-05
TUR,Finacial Intermediation and Business Activities,7.675232927633173e-05
TUR,Public Administration,1.111956530476983e-05
TUR,"Education, Health and Other Services",1.9662781915766156e-05
TUR,Private Households,7.659848947322526e-07
TUR,Others,5.468786090593758e-08
TUR,Re-export & Re-import,5.164874675749705e-11
ARM,Agriculture,4.0630694179831914e-07
ARM,Fishing,1.8698139890003676e-07
ARM,Mining and Quarrying,7.580159609407882e-07
ARM,Food & Beverages,5.110715787709355e-08
ARM,Textiles and Wearing Apparel,2.0950073190085646e-07
ARM,Wood and Paper,1.552240110596894e-07
ARM,"Petroleum, Chemical and Non-Metallic Mineral Products",3.9614673745695165e-07
ARM,Metal Products,4.446541076513577e-06
ARM,Electrical and Machinery,4.1467192794265947e-07
ARM,Transport Equipment,7.129074780322546e-08
ARM,Other Manufacturing,1.408194797779245e-07
ARM,Recycling,7.63105617876083e-09
ARM,"Electricity, Gas and Water",5.754376060520883e-07
ARM,Construction,7.75282930847189e-07
ARM,Maintenance and Repair,9.390259291884798e-08
ARM,Wholesale Trade,1.0483684806809063e-06
ARM,Retail Trade,3.9768813615332167e-07
ARM,Hotels and Restraurants,2.3974766414942324e-07
ARM,Transport,1.4088397680803904e-06
ARM,Post and Telecommunications,5.241202276926916e-07
ARM,Finacial Intermediation and Business Activities,5.976741944005218e-07
ARM,Public Administration,1.7132556699907366e-07
ARM,"Education, Health and Other Services",3.7589866618034893e-07
ARM,Private Households,3.462842976826547e-08
ARM,Others,3.499213094793423e-08
ARM,Re-export & Re-import,1.322634166834914e-11
THA,Agriculture,4.1630328678441925e-05
THA,Fishing,5.163350491966945e-06
THA,Mining and Quarrying,8.806704293530534e-06
THA,Food & Beverages,5.31573453650155e-05
THA,Textiles and Wearing Apparel,6.534589358502839e-05
THA,Wood and Paper,1.0505370127929965e-05
THA,"Petroleum, Chemical and Non-Metallic Mineral Products",4.472552831139913e-05
THA,Metal Products,2.0028252648476127e-05
THA,Electrical and Machinery,6.445623271045393e-05
THA,Transport Equipment,1.30859865051492e-05
THA,Other Manufacturing,2.2096070225494056e-05
THA,Recycling,1.1721798176940005e-05
THA,"Electricity, Gas and Water",2.2894845071301478e-05
THA,Construction,1.9553037421150046e-06
THA,Maintenance and Repair,1.4062595211945717e-06
THA,Wholesale Trade,3.82428313976587e-05
THA,Retail Trade,2.5645849557484036e-05
