,PTT_Ratio
URY,0.9617661809369347
BRN,6.793201244464202
SGP,0.28190681657612027
KWT,4.114833713463742
AUS,1.8447234877609235
BMU,0.08139152220323354
CYM,0.7270055724619816
TWN,6.460988711154839
AND,1.601100613531024
BHR,6.061154812920614
MAC,0.06835170488439324
HKG,0.29385943793966424
GUY,0.07209866082474187
VGB,0.3747020030931619
NCL,3.2416638119711783
SMR,0.0
TTO,32.08965159476133
USA,0.8310068569583676
ATG,0.9750959888874285
PYF,1.4517714783706497
OMN,8.15860030952252
CHL,1.1595224630416168
GBR,0.6213205842707441
LIE,0.0
SAU,4.450609608559816
ABW,2.5765451872689766
CRI,1.0334946341167623
ARE,2.3269772806294844
QAT,8.716857774485682
CHE,0.25208099904537723
BHS,1.2322628007629897
NZL,1.0074778213369444
SYC,2.661807146412773
RUS,5.305061757176113
KOR,1.193551151202619
PAN,0.8279902568698905
ISR,0.6658331136385762
GRL,0.6046838751334532
NOR,1.3517415923966158
CAN,1.5977562797544633
JPN,0.8228005894842493
MCO,0.0
ISL,0.8515268883065694
BRB,1.7758305974983566
