,PTT_Ratio
LBR,1.539084585919201
PRK,29.62276063876702
MOZ,1.3565554884814908
NER,1.0067007595123099
SUD,0.0
TGO,2.753972981414368
GMB,1.695641526366306
MLI,0.1533600231170863
BFA,1.4699358486384189
MDG,0.9848211404961217
MWI,1.4550116210648787
RWA,0.21679966824367797
UGA,0.770021924292499
SYR,21.2072951312882
ERI,0.3600569608672309
CAF,0.9785394760829734
TCD,0.1795546258337487
AFG,0.25605277449525177
SOM,1.4670359451952304
COD,0.3900752671245851
BDI,0.6546963055699048
SLE,3.3510894074312216
YEM,6.931765257573689
