,PTT_Ratio
SWZ,0.7231070161286153
GHA,0.6725910767729556
TJK,5.572376007671923
KHM,0.8990991116809584
PAK,4.6626406873375865
PHL,2.0348314185592926
LAO,0.99743877559573
COG,2.3965297315098613
TUN,5.486310334177006
BEN,3.4435617184598573
NIC,2.6710897773046534
SEN,4.062572185504958
LSO,0.3835520994948795
JOR,3.743185667312157
ZMB,0.42430916765619914
CMR,3.511672275935813
NPL,1.647158020948724
TZA,2.092045130521856
HTI,1.9876156663336497
LKA,0.42406120514039947
BGD,1.3873502145393273
MRT,5.406361438967101
GIN,1.2863417649213662
ZWE,1.446371158433067
NAM,1.3062673443691621
NGA,80.90865802452623
MAR,3.8474531487210624
PNG,2.450382385582921
VNM,3.055043886015518
KEN,0.32677596625326344
IND,4.601948988713955
AGO,2.3278727081007937
BTN,1.2455468668379248
KGZ,1.9210778815953031
EGY,9.940599175998408
BOL,1.2188333789701322
MMR,0.8198297943505921
VUT,0.38050383709635627
PSE,1.3727052921006577
LBN,2.549872883157971
HND,1.8379863339939606
CIV,2.2117497329661706
STP,1.2077302360282303
UZB,7.697585965913544
DJI,1.0594838983131787
