,PTT_Ratio
MNG,7.450772999201919
IDN,3.0515641320327274
CPV,0.7071002704436993
BIH,5.738380166950892
MEX,3.1268856868621935
CUB,1.6458202504123627
SRB,6.468638419378546
ALB,1.3906925294569474
MDA,84.15338869024231
UKR,7.041340400512489
LBY,11.530752240067338
SUR,3.7199616931723067
AZE,5.166008502868837
IRN,10.430641771405062
BRA,1.5609073451398199
GEO,2.147265882554966
TUR,1.650534869116278
ARM,2.7141739846817394
THA,4.535328625059508
ARG,1.7944926241501558
MYS,2.8188399558234054
GAB,2.80181502792956
PER,1.628957495288233
COL,1.1528031362205013
GTM,1.0694333780891547
JAM,4.501524441351013
IRQ,45.65740034140161
MDV,0.8647550398393388
TKM,24.701766396128434
ECU,2.7422807136256377
BWA,2.8944351865174225
DZA,21.37440942084117
DOM,1.763240572783735
BLZ,2.846466189516904
KAZ,5.248236989875909
MUS,1.3564555090025403
CHN,4.41714540366196
PRY,0.40348647927654774
MKD,2.4882867101824484
ZAF,3.5906730257587673
FJI,1.5984450225457212
SLV,2.314157173102139
WSM,0.6316209907359055
MNE,2.2100160506012108
BLR,7.940742188393005
