Region,Sector,Share of Indicrect CO2 produced in the global south
NLD,Final Demand,0.03457887334045553
EST,Final Demand,0.08102691530338454
ROU,Final Demand,0.01691499163505096
ITA,Final Demand,0.01926190302337004
CYP,Final Demand,0.023646801453226635
DEU,Final Demand,0.02203967003466849
FIN,Final Demand,0.027098956898157254
AUT,Final Demand,0.020843985564005754
LTU,Final Demand,0.08000622594017912
HRV,Final Demand,0.04616365601319887
HUN,Final Demand,0.04042384592993954
SVN,Final Demand,0.029217001984212874
LVA,Final Demand,0.11346553371899715
PRT,Final Demand,0.009088264152832414
DNK,Final Demand,0.0097701822947269
IRL,Final Demand,0.01973995893609733
ESP,Final Demand,0.027134010712025914
POL,Final Demand,0.02588041935573802
BEL,Final Demand,0.02727402748047468
MLT,Final Demand,0.04829310603244613
CZE,Final Demand,0.02470655854287814
GRC,Final Demand,0.011397074161350605
SVK,Final Demand,0.026902032747327175
LUX,Final Demand,0.003896305319590251
SWE,Final Demand,0.0312205273953107
FRA,Final Demand,0.02758316210104233
BGR,Final Demand,0.02125287261556958
AUT,Agriculture,0.021297508294197205
AUT,Fishing,0.15659273959921824
AUT,Mining and Quarrying,0.019662653684175246
AUT,Food & Beverages,0.023694054653498983
AUT,Textiles and Wearing Apparel,0.05989014175277778
AUT,Wood and Paper,0.024715464279303427
AUT,"Petroleum, Chemical and Non-Metallic Mineral Products",0.1990144649702835
AUT,Metal Products,0.08017783233732645
AUT,Electrical and Machinery,0.03019784358342698
AUT,Transport Equipment,0.01939763942811905
AUT,Other Manufacturing,0.04442646225495113
AUT,Recycling,0.04892393711389259
AUT,"Electricity, Gas and Water",0.13361738399528394
AUT,Construction,0.02340872311821931
AUT,Maintenance and Repair,0.013292919468560935
AUT,Wholesale Trade,0.016661054972230804
AUT,Retail Trade,0.026329021470069373
AUT,Hotels and Restraurants,0.011799714759408239
AUT,Transport,0.06117153528418984
AUT,Post and Telecommunications,0.02903731100264754
AUT,Finacial Intermediation and Business Activities,0.014433805833222579
AUT,Public Administration,0.008863924880610056
AUT,"Education, Health and Other Services",0.015279362826064884
AUT,Private Households,0.4204475437207614
AUT,Others,0.019316044876168628
AUT,Re-export & Re-import,0.1625759904366923
BEL,Agriculture,0.01405159564116024
BEL,Fishing,0.05440497632566209
BEL,Mining and Quarrying,0.02947573603133799
BEL,Food & Beverages,0.03779403839837898
BEL,Textiles and Wearing Apparel,0.06712084083925633
BEL,Wood and Paper,0.03667442853786589
BEL,"Petroleum, Chemical and Non-Metallic Mineral Products",0.09817487514083462
BEL,Metal Products,0.07380732575401298
BEL,Electrical and Machinery,0.025719845872256182
BEL,Transport Equipment,0.022422885121548813
BEL,Other Manufacturing,0.08686704511390847
BEL,Recycling,0.6411271796006008
BEL,"Electricity, Gas and Water",0.04250064299373007
BEL,Construction,0.015250394746156255
BEL,Maintenance and Repair,0.025294006165734698
BEL,Wholesale Trade,0.035826818701782136
BEL,Retail Trade,0.02318437593911666
BEL,Hotels and Restraurants,0.01593978011202456
BEL,Transport,0.04949649750441863
BEL,Post and Telecommunications,0.028419604297810146
BEL,Finacial Intermediation and Business Activities,0.019964039375112964
BEL,Public Administration,0.013274605038285887
BEL,"Education, Health and Other Services",0.02099966654477299
BEL,Private Households,0.689408370167298
BEL,Others,0.03145601461481224
BEL,Re-export & Re-import,0.16888203860495676
BGR,Agriculture,0.023595894132122944
BGR,Fishing,0.2349444712768084
BGR,Mining and Quarrying,0.18122936632210485
BGR,Food & Beverages,0.06378382130366883
BGR,Textiles and Wearing Apparel,0.033135899622024706
BGR,Wood and Paper,0.08530713240485942
BGR,"Petroleum, Chemical and Non-Metallic Mineral Products",0.20238508086363713
BGR,Metal Products,0.12717672348218914
BGR,Electrical and Machinery,0.10206356717422062
BGR,Transport Equipment,0.08256948276626476
BGR,Other Manufacturing,0.12164332303333263
