Region,Sector,With Russia,Without Russia,Without China,Without India
EST,Final Demand,0.0007872799531576334,0.0007872799531576334,0.0007872799531576334,0.0007872799531576334
DNK,Final Demand,0.001154905196182155,0.001154905196182155,0.001154905196182155,0.001154905196182155
CYP,Final Demand,0.0025420569239392936,0.0025420569239392936,0.0025420569239392936,0.0025420569239392936
GRC,Final Demand,0.0011528308548055585,0.0011528308548055585,0.0011528308548055585,0.0011528308548055585
SVN,Final Demand,0.001390787656309661,0.001390787656309661,0.001390787656309661,0.001390787656309661
PRT,Final Demand,0.0016774822102688782,0.0016774822102688782,0.0016774822102688782,0.0016774822102688782
MLT,Final Demand,0.002600440915206437,0.002600440915206437,0.002600440915206437,0.002600440915206437
ROU,Final Demand,0.0009516747863150555,0.0009516747863150555,0.0009516747863150555,0.0009516747863150555
ESP,Final Demand,0.002496645993676135,0.002496645993676135,0.002496645993676135,0.002496645993676135
DEU,Final Demand,0.0022818907359979206,0.0022818907359979206,0.0022818907359979206,0.0022818907359979206
HRV,Final Demand,0.0013573362709852457,0.0013573362709852457,0.0013573362709852457,0.0013573362709852457
NLD,Final Demand,0.0011453569281502473,0.0011453569281502473,0.0011453569281502473,0.0011453569281502473
BGR,Final Demand,0.0011299042202479338,0.0011299042202479338,0.0011299042202479338,0.0011299042202479338
LUX,Final Demand,0.002599277814157303,0.002599277814157303,0.002599277814157303,0.002599277814157303
LTU,Final Demand,0.000846114993187833,0.000846114993187833,0.000846114993187833,0.000846114993187833
HUN,Final Demand,0.0011673236261890369,0.0011673236261890369,0.0011673236261890369,0.0011673236261890369
POL,Final Demand,0.0006878586318030677,0.0006878586318030677,0.0006878586318030677,0.0006878586318030677
CZE,Final Demand,0.0007243985442376566,0.0007243985442376566,0.0007243985442376566,0.0007243985442376566
BEL,Final Demand,0.0019659534577629615,0.0019659534577629615,0.0019659534577629615,0.0019659534577629615
SWE,Final Demand,0.0016096062367693014,0.0016096062367693014,0.0016096062367693014,0.0016096062367693014
ITA,Final Demand,0.0027588883909571192,0.0027588883909571192,0.0027588883909571192,0.0027588883909571192
FRA,Final Demand,0.0022917231451932128,0.0022917231451932128,0.0022917231451932128,0.0022917231451932128
AUT,Final Demand,0.0024665637102398597,0.0024665637102398597,0.0024665637102398597,0.0024665637102398597
FIN,Final Demand,0.0011383278062013133,0.0011383278062013133,0.0011383278062013133,0.0011383278062013133
LVA,Final Demand,0.0007639040266456929,0.0007639040266456929,0.0007639040266456929,0.0007639040266456929
SVK,Final Demand,0.0009110870985413605,0.0009110870985413605,0.0009110870985413605,0.0009110870985413605
IRL,Final Demand,0.001258241803889943,0.001258241803889943,0.001258241803889943,0.001258241803889943
