Region,Sector,With Russia,Without Russia,Without China,Without India
EST,Final Demand,0.020710122219668517,0.020710122219668517,0.020710122219668517,0.014149977090312361
DNK,Final Demand,0.03433010133697181,0.03433010133697181,0.03433010133697181,0.014617157312185875
CYP,Final Demand,0.046544439873847814,0.046544439873847814,0.046544439873847814,0.02084726510821135
GRC,Final Demand,0.01887228006340358,0.01887228006340358,0.01887228006340358,0.010292214727644215
SVN,Final Demand,0.025290863131871306,0.025290863131871306,0.025290863131871306,0.010648664288462258
PRT,Final Demand,0.03264725398889691,0.03264725398889691,0.03264725398889691,0.020400592115640853
MLT,Final Demand,0.07100192150756515,0.07100192150756515,0.07100192150756515,0.027988744353475058
ROU,Final Demand,0.01814770400795299,0.01814770400795299,0.01814770400795299,0.008179751190576134
ESP,Final Demand,0.05483449813787497,0.05483449813787497,0.05483449813787497,0.036061749612939356
DEU,Final Demand,0.03534810046383147,0.03534810046383147,0.03534810046383147,0.015326480440554943
HRV,Final Demand,0.024149646919766527,0.024149646919766527,0.024149646919766527,0.011597930179490245
NLD,Final Demand,0.043462406709586926,0.043462406709586926,0.043462406709586926,0.01790876354675721
BGR,Final Demand,0.015293980474996815,0.015293980474996815,0.015293980474996815,0.007330398949950963
LUX,Final Demand,0.043516208180012075,0.043516208180012075,0.043516208180012075,0.018692646585900703
LTU,Final Demand,0.017521940733927148,0.017521940733927148,0.017521940733927148,0.009557209870469608
HUN,Final Demand,0.025921759703529373,0.025921759703529373,0.025921759703529373,0.009823912003667713
POL,Final Demand,0.018353014894416972,0.018353014894416972,0.018353014894416972,0.007867453263087895
CZE,Final Demand,0.019618581347995476,0.019618581347995476,0.019618581347995476,0.00903252219389185
BEL,Final Demand,0.05226508126965165,0.05226508126965165,0.05226508126965165,0.024423502824151587
SWE,Final Demand,0.04556784830842942,0.04556784830842942,0.04556784830842942,0.018662994043996996
ITA,Final Demand,0.03943523251221776,0.03943523251221776,0.03943523251221776,0.020450942659886624
FRA,Final Demand,0.04958247703295034,0.04958247703295034,0.04958247703295034,0.02908041403983334
AUT,Final Demand,0.034116481768937515,0.034116481768937515,0.034116481768937515,0.01575764522267582
FIN,Final Demand,0.02047154542093327,0.02047154542093327,0.02047154542093327,0.00868081530885036
LVA,Final Demand,0.019030935536777347,0.019030935536777347,0.019030935536777347,0.010375706222266357
SVK,Final Demand,0.02219863875334866,0.02219863875334866,0.02219863875334866,0.010605677426200416
IRL,Final Demand,0.04674871226442618,0.04674871226442618,0.04674871226442618,0.018260404531565955
