Region,Sector,With Russia,Without Russia
EST,Final Demand,0.10470637159919535,0.10470637159919535
DNK,Final Demand,0.1554808687168659,0.1554808687168659
CYP,Final Demand,0.12100294997656734,0.12100294997656734
GRC,Final Demand,0.09232436492403837,0.09232436492403837
SVN,Final Demand,0.14834540068390234,0.14834540068390234
PRT,Final Demand,0.08746053220944519,0.08746053220944519
MLT,Final Demand,0.2545801552380539,0.2545801552380539
ROU,Final Demand,0.13714156816531978,0.13714156816531978
ESP,Final Demand,0.16201589935642952,0.16201589935642952
DEU,Final Demand,0.14605013496900252,0.14605013496900252
HRV,Final Demand,0.15355867018362465,0.15355867018362465
NLD,Final Demand,0.17436584050287576,0.17436584050287576
BGR,Final Demand,0.11091054791218727,0.11091054791218727
LUX,Final Demand,0.16459941995442035,0.16459941995442035
LTU,Final Demand,0.20318038205297387,0.20318038205297387
HUN,Final Demand,0.15744341606148163,0.15744341606148163
POL,Final Demand,0.1081320557547326,0.1081320557547326
CZE,Final Demand,0.10442480031023886,0.10442480031023886
BEL,Final Demand,0.17247997679763408,0.17247997679763408
SWE,Final Demand,0.20864058923026635,0.20864058923026635
ITA,Final Demand,0.13000153674294782,0.13000153674294782
FRA,Final Demand,0.1613797984355976,0.1613797984355976
AUT,Final Demand,0.18972461200755833,0.18972461200755833
FIN,Final Demand,0.11385246436431658,0.11385246436431658
LVA,Final Demand,0.1353531455067665,0.1353531455067665
SVK,Final Demand,0.13237500368949318,0.13237500368949318
IRL,Final Demand,0.22680835576940683,0.22680835576940683
