CountryA3,Entity,Sector,0
CZE,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.028625966601829842
LTU,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.02790915123483611
IRL,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.027336288894574547
MLT,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.02657937671531099
HUN,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.02606719262046616
SVN,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.02461787886183813
AUT,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.024578041095578075
ESP,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.024447117713520948
FRA,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.02438985565221021
SWE,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.02416622978338325
POL,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.024147281600646046
LVA,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.024106067515981596
SVK,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.023908391423785605
ITA,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.023154878832960676
PRT,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.023072239591018468
BEL,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.022910832149991348
ROU,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.022736450246035236
GRC,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.021902616022420475
NLD,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.021538263073487805
FIN,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.020206097927939072
EST,Industries,"Manufacture of motor vehicles, trailers and semi-trailers",0.02000946227143568
MLT,Industries,FISIM,0.017917683044308543
DEU,Commodities,car,0.01375193487570376
JPN,Commodities,Motor vehicle parts and accessories,0.0075141520224031805
CHN,Commodities,car,0.006496001695531467
CHN,Commodities,Vehicles fittings production,0.006086239581678547
JPN,Commodities,Internal combustion engines for motor vehicles and parts,0.0034491754329534084
FIN,Industries,Manufacture of machinery and equipment n.e.c.,0.0031197640613039404
LTU,Industries,Manufacture of machinery and equipment n.e.c.,0.003031805325751792
KOR,Commodities,Rubber products,0.0028007611885266905
DNK,Industries,"Ws. and commis. trade, exc. of m. vehicles",0.002650951739934874
KOR,Commodities,Furniture,0.0025572882985373043
JPN,Commodities,Motor vehicle bodies,0.0024714306826680507
EST,Industries,"Manufacture of fabricated metal products, except machinery and equipment",0.0023056393883581915
NLD,Industries,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0.0018858615029949191
